"No.","Uniprot_id","Organism","Chembl_id","OpenTargets_id","TTD_id","TTD_target_type","Docking_PDB_id","Docking_score","Target_name","Gene_names","Function","Probability"
39,"P39086","Homo sapiens (Human)","CHEMBL1918","ENSG00000171189","GRIK1_HUMAN","Successful target","2ZNT",-4.8,"Glutamate receptor ionotropic kainate 1","GRIK1;GLUR5","central nervous system development; chemical synaptic transmission; glutamate receptor signaling pathway; modulation of chemical synaptic transmission; nervous system development; regulation of synaptic transmission, glutamatergic; synaptic transmission, glutamatergic",0.00015660231292713434
40,"P55212","Homo sapiens (Human)","CHEMBL3308","ENSG00000138794","CASP6_HUMAN","Patented target;Research target","4NBK",-7.6,"Caspase-6","CASP6;MCH2","activation of cysteine-type endopeptidase activity; activation of innate immune response; apoptotic process; cellular response to staurosporine; epithelial cell differentiation; hepatocyte apoptotic process; intrinsic apoptotic signaling pathway by p53 class mediator; positive regulation of apoptotic process; positive regulation of necroptotic process; protein autoprocessing; proteolysis; pyroptosis; regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; regulation of programmed cell death",0.0001564108533784747
41,"P55157","Homo sapiens (Human)","CHEMBL2569","ENSG00000138823","MTP_HUMAN","Successful target","Alphafold2",-6.8,"Microsomal triglyceride transfer protein large subunit","MTTP;MTP","cholesterol homeostasis; chylomicron assembly; circadian rhythm; establishment of localization in cell; lipid metabolic process; lipoprotein metabolic process; lipoprotein transport; low-density lipoprotein particle remodeling; phospholipid transport; plasma lipoprotein particle assembly; protein lipidation; protein secretion; response to calcium ion; triglyceride metabolic process; triglyceride transport; very-low-density lipoprotein particle assembly",0.0001484985405113548
42,"O14939","Homo sapiens (Human)","CHEMBL2734","ENSG00000129219","PLD2_HUMAN","Clinical Trial target","6OHP",32.6,"Phospholipase D2","PLD2","cytoskeleton organization; Fc-gamma receptor signaling pathway involved in phagocytosis; inositol lipid-mediated signaling; phosphatidic acid biosynthetic process; phospholipid catabolic process; regulation of vesicle-mediated transport; small GTPase mediated signal transduction; synaptic vesicle recycling",0.00013932127330917865
43,"Q92794","Homo sapiens (Human)","CHEMBL3774298","ENSG00000083168","","","3V43",-6.7,"Histone acetyltransferase KAT6A","KAT6A;MOZ;MYST3;RUNXBP2;ZNF220","cellular senescence; chromosome organization; histone acetylation; myeloid cell differentiation; negative regulation of DNA-templated transcription; nucleosome assembly; positive regulation of DNA-templated transcription; positive regulation of gene expression; protein acetylation; regulation of developmental process; regulation of DNA-templated transcription; regulation of hemopoiesis; regulation of signal transduction by p53 class mediator",0.00013645531726069748
44,"P51677","Homo sapiens (Human)","CHEMBL3473","ENSG00000183625","CCR3_HUMAN","Discontinued target;Clinical Trial target","Alphafold2",-5.6,"C-C chemokine receptor type 3","CCR3;CMKBR3","adenylate cyclase-modulating G protein-coupled receptor signaling pathway; cell adhesion; cellular defense response; chemotaxis; immune response; inflammatory response; positive regulation of angiogenesis; positive regulation of cytosolic calcium ion concentration; positive regulation of endothelial cell proliferation",0.00013320402649696916
45,"P46059","Homo sapiens (Human)","CHEMBL4605","ENSG00000088386","S15A1_HUMAN","Research target","Alphafold2",-6.4,"Oligopeptide transporter small intestine isoform","SLC15A1;PEPT1","dipeptide import across plasma membrane; monoatomic ion transport; protein transport; tripeptide import across plasma membrane",0.00013242277782410383
46,"Q16850","Homo sapiens (Human)","CHEMBL3849","ENSG00000001630","CP51A_HUMAN","Clinical Trial target","4UHI",-9.1,"Cytochrome P450 51","CYP51A1;CYP51","cholesterol biosynthetic process; negative regulation of amyloid-beta clearance; negative regulation of protein catabolic process; negative regulation of protein secretion; steroid biosynthetic process; sterol metabolic process",0.00013014991418458521
47,"Q96GG9","Homo sapiens (Human)","CHEMBL4105838","ENSG00000043093","","","6BG5",-8.3,"DCN1-like protein 1","DCUN1D1;DCN1;DCUN1L1;RP42;SCCRO","positive regulation of protein neddylation; positive regulation of ubiquitin-protein transferase activity; protein neddylation; regulation of protein neddylation; regulation of protein ubiquitination",0.00010874716826947406
48,"P07148","Homo sapiens (Human)","CHEMBL5421","ENSG00000163586","FABPL_HUMAN","Successful target","6DRG",-9.8,"Fatty acid-binding protein, liver","FABP1;FABPL","cellular response to hydrogen peroxide; cellular response to hypoxia; fatty acid transport; intestinal absorption; negative regulation of apoptotic process; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process; positive regulation of fatty acid beta-oxidation; positive regulation of hydrolase activity",7.869464752729982e-05
49,"Q13510","Homo sapiens (Human)","CHEMBL5463","ENSG00000104763","","","6MHM",-1.3,"Acid ceramidase","ASAH1;ASAH;HSD-33;HSD33","cellular response to tumor necrosis factor; ceramide biosynthetic process; ceramide catabolic process; fatty acid metabolic process; keratinocyte differentiation; negative regulation of nucleic acid-templated transcription; regulation of programmed necrotic cell death; regulation of steroid biosynthetic process; sphingosine biosynthetic process",7.371692481683567e-05
50,"Q9Y294","Homo sapiens (Human)","CHEMBL3392950","ENSG00000111875","","","7LNY",-5.8,"Histone chaperone ASF1A","ASF1A;CGI-98;HSPC146","DNA repair; DNA repair-dependent chromatin remodeling; DNA replication-dependent chromatin assembly; muscle cell differentiation; nucleosome assembly; osteoblast differentiation; replication fork processing",7.314469257835299e-05
51,"Q8N6T7","Homo sapiens (Human)","CHEMBL2163182","ENSG00000077463","","","6HOY",-7.5,"NAD-dependent protein deacetylase sirtuin-6","SIRT6;SIR2L6","base-excision repair; cardiac muscle cell differentiation; circadian regulation of gene expression; determination of adult lifespan; DNA repair-dependent chromatin remodeling; double-strand break repair; glucose homeostasis; histone deacetylation; ketone biosynthetic process; negative regulation of cell population proliferation; negative regulation of cellular senescence; negative regulation of gene expression, epigenetic; negative regulation of gluconeogenesis; negative regulation of glucose import; negative regulation of glycolytic process; negative regulation of protein import into nucleus; negative regulation of protein localization to chromatin; negative regulation of transcription by RNA polymerase II; negative regulation of transcription elongation by RNA polymerase II; pericentric heterochromatin formation; positive regulation of blood vessel branching; positive regulation of chondrocyte proliferation; positive regulation of cold-induced thermogenesis; positive regulation of double-strand break repair; positive regulation of fat cell differentiation; positive regulation of fibroblast proliferation; positive regulation of histone deacetylase activity; positive regulation of insulin secretion; positive regulation of protein export from nucleus; positive regulation of protein localization to chromatin; positive regulation of stem cell differentiation; positive regulation of stem cell population maintenance; positive regulation of stem cell proliferation; positive regulation of telomere maintenance; positive regulation of transcription factor catabolic process; positive regulation of vascular endothelial cell proliferation; protein deacetylation; protein delipidation; protein destabilization; protein localization to site of double-strand break; regulation of circadian rhythm; regulation of double-strand break repair via homologous recombination; regulation of lipid catabolic process; regulation of lipid metabolic process; regulation of protein localization to plasma membrane; regulation of protein secretion; response to UV; retrotransposon silencing; subtelomeric heterochromatin formation",6.954863056307659e-05
52,"A4D1B5","Homo sapiens (Human)","CHEMBL3638343","ENSG00000186088","","","Alphafold2",-6.5,"Gamma-secretase-activating protein","GSAP;PION","positive regulation of amyloid-beta formation; regulation of proteolysis",6.877972919028252e-05
53,"P60568","Homo sapiens (Human)","CHEMBL5880","ENSG00000109471","IL2_HUMAN","Successful target","1M48",-6.4,"Interleukin-2","IL2","activated T cell proliferation; adaptive immune response; cell adhesion; cell-cell signaling; extrinsic apoptotic signaling pathway in absence of ligand; immune response; interleukin-2-mediated signaling pathway; leukocyte activation involved in immune response; natural killer cell activation; negative regulation of apoptotic process; negative regulation of B cell apoptotic process; negative regulation of heart contraction; negative regulation of inflammatory response; negative regulation of lymphocyte proliferation; negative regulation of protein phosphorylation; negative regulation of T-helper 17 cell differentiation; positive regulation of activated T cell proliferation; positive regulation of B cell proliferation; positive regulation of cell growth; positive regulation of cell population proliferation; positive regulation of cytosolic calcium ion concentration; positive regulation of dendritic spine development; positive regulation of immunoglobulin production; positive regulation of inflammatory response; positive regulation of interleukin-17 production; positive regulation of isotype switching to IgG isotypes; positive regulation of plasma cell differentiation; positive regulation of regulatory T cell differentiation; positive regulation of tissue remodeling; positive regulation of transcription by RNA polymerase II; positive regulation of type II interferon production; positive regulation of tyrosine phosphorylation of STAT protein; protein kinase C-activating G protein-coupled receptor signaling pathway; regulation of CD4-positive, alpha-beta T cell proliferation; regulation of T cell homeostatic proliferation; response to ethanol; T cell differentiation; transcription by RNA polymerase II; tyrosine phosphorylation of STAT protein",6.704760016873479e-05
54,"P48058","Homo sapiens (Human)","CHEMBL3190","ENSG00000152578","GRIA4_HUMAN","Successful target","Alphafold2",-7.1,"Glutamate receptor ionotropic, AMPA 4","GRIA4;GLUR4","glutamate receptor signaling pathway; modulation of chemical synaptic transmission; negative regulation of smooth muscle cell apoptotic process; synaptic transmission, glutamatergic",6.332272459985688e-05
55,"Q9H237","Homo sapiens (Human)","CHEMBL1255163","ENSG00000102312","PORCN_HUMAN","Clinical Trial target","Alphafold2",-7.5,"Probable protein-cysteine N-palmitoyltransferase porcupine","PORCN;MG61;PORC;PPN","glycoprotein metabolic process; lipid modification; protein lipidation; protein palmitoleylation; protein palmitoylation; regulation of postsynaptic membrane neurotransmitter receptor levels; Wnt protein secretion; Wnt signaling pathway",6.0038946685381234e-05
56,"O00220","Homo sapiens (Human)","CHEMBL3551","ENSG00000104689","TR10A_HUMAN","Clinical Trial target","5CIR",-4.6,"TRAIL receptor-1","TNFRSF10A;APO2;DR4;TRAILR1","activation of NF-kappaB-inducing kinase activity; apoptotic process; cellular response to mechanical stimulus; extrinsic apoptotic signaling pathway; extrinsic apoptotic signaling pathway via death domain receptors; positive regulation of apoptotic process; signal transduction; TRAIL-activated apoptotic signaling pathway",5.853050606674515e-05
57,"Q9UI42","Homo sapiens (Human)","CHEMBL2644","ENSG00000128510","","","2PCU",-6.4,"Carboxypeptidase A4","CPA4;CPA3;UNQ694/PRO1339","histone acetylation; proteolysis",5.680554750142619e-05
58,"Q495T6","Homo sapiens (Human)","CHEMBL3638356","ENSG00000142606","","","Alphafold2",-6.8,"Membrane metallo-endopeptidase-like 1","MMEL1;MELL1;MMEL2;NEP2","protein processing; proteolysis",5.306151433615014e-05
59,"Q9NQ90","Homo sapiens (Human)","CHEMBL4105767","ENSG00000047617","","","Alphafold2",-8.6,"Anoctamin-2","ANO2;C12orf3;TMEM16B","chloride transmembrane transport; monoatomic ion transmembrane transport",5.257149678072892e-05
60,"Q9BYF1","Homo sapiens (Human)","CHEMBL3736","ENSG00000130234","ACE2_HUMAN","Clinical Trial target","7DX8",-5.2,"Angiotensin-converting enzyme 2","ACE2;UNQ868/PRO1885","angiotensin maturation; angiotensin-mediated drinking behavior; blood vessel diameter maintenance; maternal process involved in female pregnancy; membrane fusion; negative regulation of ERK1 and ERK2 cascade; negative regulation of signaling receptor activity; negative regulation of smooth muscle cell proliferation; positive regulation of amino acid transport; positive regulation of cardiac muscle contraction; positive regulation of gap junction assembly; positive regulation of L-proline import across plasma membrane; positive regulation of reactive oxygen species metabolic process; receptor-mediated endocytosis of virus by host cell; receptor-mediated virion attachment to host cell; regulation of cardiac conduction; regulation of cell population proliferation; regulation of cytokine production; regulation of inflammatory response; regulation of systemic arterial blood pressure by renin-angiotensin; regulation of transmembrane transporter activity; regulation of vasoconstriction; tryptophan transport; viral entry into host cell; viral life cycle",4.9571095587452874e-05
61,"Q9UDY8","Homo sapiens (Human)","CHEMBL3632452","ENSG00000172175","MALT1_HUMAN","Clinical Trial target","6H4A",-7.1,"Mucosa-associated lymphoid tissue lymphoma translocation protein 1","MALT1;MLT","activation of NF-kappaB-inducing kinase activity; B cell activation; B-1 B cell differentiation; defense response; innate immune response; lipopolysaccharide-mediated signaling pathway; negative regulation of apoptotic process; nuclear export; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; positive regulation of I-kappaB kinase/NF-kappaB signaling; positive regulation of interleukin-1 beta production; positive regulation of interleukin-2 production; positive regulation of NF-kappaB transcription factor activity; positive regulation of protein ubiquitination; positive regulation of T cell cytokine production; positive regulation of T-helper 17 cell differentiation; proteolysis; proteolysis involved in protein catabolic process; regulation of apoptotic process; regulation of T cell receptor signaling pathway; response to fungus; T cell proliferation; T cell receptor signaling pathway",4.8128018534043804e-05
62,"P55058","Homo sapiens (Human)","CHEMBL5962","ENSG00000100979","PLTP_HUMAN","Research target","Alphafold2",-9.9,"Phospholipid transfer protein","PLTP","ceramide transport; flagellated sperm motility; glycolipid transport; high-density lipoprotein particle remodeling; lipid metabolic process; lipid transport; phospholipid transport; positive regulation of cholesterol efflux; vitamin E biosynthetic process",4.2881063563982025e-05
63,"Q02224","Homo sapiens (Human)","CHEMBL5870","ENSG00000138778","CENPE_HUMAN","Research target","1T5C",-6.8,"Centromere-associated protein E","CENPE","attachment of mitotic spindle microtubules to kinetochore; cell division; chromosome segregation; kinetochore assembly; lateral attachment of mitotic spindle microtubules to kinetochore; metaphase plate congression; microtubule plus-end directed mitotic chromosome migration; microtubule-based movement; mitotic cell cycle; mitotic chromosome movement towards spindle pole; mitotic metaphase plate congression; mitotic spindle organization; positive regulation of protein kinase activity; regulation of mitotic metaphase/anaphase transition",4.115069896215573e-05
64,"Q9Y3Q0","Homo sapiens (Human)","CHEMBL2609","ENSG00000077616","NALD2_HUMAN","Research target","3FED",-8.8,"NAALADase II","NAALAD2","proteolysis",4.110904410481453e-05
65,"P46531","Homo sapiens (Human)","CHEMBL2146346","ENSG00000148400","NOTC1_HUMAN","Clinical Trial target","3L95",-7.1,"Neurogenic locus notch homolog protein 1","NOTCH1;TAN1","animal organ regeneration; aortic valve morphogenesis; apoptotic process involved in embryonic digit morphogenesis; arterial endothelial cell differentiation; astrocyte differentiation; atrioventricular node development; atrioventricular valve morphogenesis; auditory receptor cell fate commitment; axon guidance; branching morphogenesis of an epithelial tube; calcium-ion regulated exocytosis; cardiac atrium morphogenesis; cardiac chamber formation; cardiac epithelial to mesenchymal transition; cardiac left ventricle morphogenesis; cardiac muscle cell myoblast differentiation; cardiac muscle cell proliferation; cardiac muscle tissue morphogenesis; cardiac right atrium morphogenesis; cardiac right ventricle formation; cardiac septum morphogenesis; cardiac vascular smooth muscle cell development; cardiac ventricle morphogenesis; cell differentiation in spinal cord; cell migration involved in endocardial cushion formation; cellular response to follicle-stimulating hormone stimulus; cellular response to hypoxia; cellular response to tumor cell; cellular response to vascular endothelial growth factor stimulus; cilium assembly; collecting duct development; compartment pattern specification; coronary artery morphogenesis; coronary sinus valve morphogenesis; coronary vein morphogenesis; determination of left/right symmetry; distal tubule development; embryonic hindlimb morphogenesis; endocardial cell differentiation; endocardial cushion morphogenesis; endocardium development; endocardium morphogenesis; endoderm development; epidermal cell fate specification; epithelial cell fate commitment; epithelial cell proliferation; epithelial to mesenchymal transition; epithelial to mesenchymal transition involved in endocardial cushion formation; forebrain development; foregut morphogenesis; glomerular mesangial cell development; growth involved in heart morphogenesis; hair follicle morphogenesis; heart development; heart looping; heart trabecula morphogenesis; homeostasis of number of cells within a tissue; humoral immune response; immune response; in utero embryonic development; inflammatory response to antigenic stimulus; inhibition of neuroepithelial cell differentiation; interleukin-17-mediated signaling pathway; keratinocyte differentiation; left/right axis specification; liver development; lung development; luteolysis; mesenchymal cell development; mitral valve formation; negative regulation of anoikis; negative regulation of biomineral tissue development; negative regulation of BMP signaling pathway; negative regulation of calcium ion-dependent exocytosis; negative regulation of canonical Wnt signaling pathway; negative regulation of cardiac muscle hypertrophy; negative regulation of catalytic activity; negative regulation of cell adhesion molecule production; negative regulation of cell migration involved in sprouting angiogenesis; negative regulation of cell population proliferation; negative regulation of cell proliferation involved in heart valve morphogenesis; negative regulation of cell-cell adhesion mediated by cadherin; negative regulation of cell-substrate adhesion; negative regulation of cold-induced thermogenesis; negative regulation of collagen biosynthetic process; negative regulation of DNA-templated transcription; negative regulation of endothelial cell chemotaxis; negative regulation of epithelial cell proliferation; negative regulation of extracellular matrix constituent secretion; negative regulation of gene expression; negative regulation of glial cell proliferation; negative regulation of inner ear auditory receptor cell differentiation; negative regulation of myoblast differentiation; negative regulation of myotube differentiation; negative regulation of neurogenesis; negative regulation of oligodendrocyte differentiation; negative regulation of ossification; negative regulation of osteoblast differentiation; negative regulation of photoreceptor cell differentiation; negative regulation of pro-B cell differentiation; negative regulation of stem cell differentiation; negative regulation of transcription by RNA polymerase II; neural tube development; neuroendocrine cell differentiation; neuronal stem cell population maintenance; Notch signaling involved in heart development; Notch signaling pathway; Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation; oligodendrocyte differentiation; outflow tract morphogenesis; pericardium morphogenesis; positive regulation of aorta morphogenesis; positive regulation of apoptotic process involved in morphogenesis; positive regulation of astrocyte differentiation; positive regulation of BMP signaling pathway; positive regulation of cardiac epithelial to mesenchymal transition; positive regulation of cardiac muscle cell proliferation; positive regulation of cell migration; positive regulation of cell population proliferation; positive regulation of DNA-templated transcription; positive regulation of endothelial cell differentiation; positive regulation of epithelial cell proliferation; positive regulation of ERK1 and ERK2 cascade; positive regulation of gene expression; positive regulation of keratinocyte differentiation; positive regulation of neuroblast proliferation; positive regulation of Notch signaling pathway; positive regulation of Ras protein signal transduction; positive regulation of receptor signaling pathway via JAK-STAT; positive regulation of transcription by RNA polymerase II; positive regulation of transcription of Notch receptor target; positive regulation of viral genome replication; prostate gland epithelium morphogenesis; protein catabolic process; protein import into nucleus; pulmonary valve morphogenesis; regulation of DNA-templated transcription; regulation of epithelial cell proliferation involved in prostate gland development; regulation of extracellular matrix assembly; regulation of somitogenesis; regulation of stem cell proliferation; regulation of transcription by RNA polymerase II; response to corticosteroid; response to lipopolysaccharide; response to muramyl dipeptide; retinal cone cell differentiation; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development; skeletal muscle cell differentiation; somatic stem cell division; spermatogenesis; sprouting angiogenesis; T-helper 17 type immune response; tissue regeneration; transcription by RNA polymerase II; tube formation; vasculogenesis involved in coronary vascular morphogenesis; venous endothelial cell differentiation; ventricular septum morphogenesis; ventricular trabecula myocardium morphogenesis",3.881337397615425e-05
66,"O00429","Homo sapiens (Human)","CHEMBL4523118","ENSG00000087470","","","3W6N",-6.6,"Dynamin-1-like protein","DNM1L;DLP1;DRP1","calcium ion transport; endocytosis; heart contraction; intracellular distribution of mitochondria; localization; membrane fusion; mitochondrial fission; mitochondrial fragmentation involved in apoptotic process; mitochondrial membrane fission; mitochondrion morphogenesis; mitochondrion organization; mitocytosis; necroptotic process; peroxisome fission; positive regulation of apoptotic process; positive regulation of intrinsic apoptotic signaling pathway; positive regulation of mitochondrial fission; positive regulation of neutrophil chemotaxis; positive regulation of protein secretion; positive regulation of release of cytochrome c from mitochondria; protein complex oligomerization; protein localization to mitochondrion; protein-containing complex assembly; regulation of ATP metabolic process; regulation of autophagy of mitochondrion; regulation of gene expression; regulation of mitochondrion organization; regulation of peroxisome organization; regulation of ubiquitin protein ligase activity; release of cytochrome c from mitochondria; rhythmic process",3.831298090517521e-05
67,"Q9NP77","Homo sapiens (Human)","CHEMBL3317331","ENSG00000160075","","","3O2S",-6.0,"RNA polymerase II subunit A C-terminal domain phosphatase SSU72","SSU72;HSPC182;PNAS-120","mRNA polyadenylation; termination of RNA polymerase II transcription",3.393052611500025e-05
68,"P09237","Homo sapiens (Human)","CHEMBL4073","ENSG00000137673","MMP7_HUMAN","Successful target","2Y6D",-7.7,"Matrix metalloproteinase 7","MMP7;MPSL1;PUMP1","collagen catabolic process; extracellular matrix disassembly; extracellular matrix organization; membrane protein ectodomain proteolysis; membrane protein intracellular domain proteolysis; positive regulation of cell migration; proteolysis",3.035302142961882e-05
69,"Q6UVM3","Homo sapiens (Human)","CHEMBL4739693","ENSG00000162687","KCNT2_HUMAN","Clinical Trial target","Alphafold2",-6.5,"Potassium channel subfamily T member 2","KCNT2;SLICK","potassium ion export across plasma membrane",2.97113110718783e-05
70,"Q9UKU6","Homo sapiens (Human)","CHEMBL3886123","","","","Alphafold2",-6.5,"Thyrotropin-releasing hormone-degrading ectoenzyme","TRHDE;UNQ2507/PRO5995","cell-cell signaling; peptide catabolic process; proteolysis; signal transduction",2.7932013836107217e-05
71,"Q9UBZ9","Homo sapiens (Human)","CHEMBL4295973","ENSG00000135945","","","2N1G",-5.6,"DNA repair protein REV1","REV1;REV1L","DNA replication; error-free translesion synthesis; error-prone translesion synthesis; response to UV",2.760236748144962e-05
72,"P35222","Homo sapiens (Human)","CHEMBL5866","ENSG00000168036","CTNB1_HUMAN","Successful target","4DJS",-6.5,"Catenin beta-1","CTNNB1;CTNNB;OK/SW-cl.35;PRO2286","acinar cell differentiation; adherens junction assembly; anterior/posterior axis specification; apoptotic signaling pathway; astrocyte-dopaminergic neuron signaling; bone resorption; branching involved in blood vessel morphogenesis; branching involved in ureteric bud morphogenesis; canonical Wnt signaling pathway; canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation; canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation; canonical Wnt signaling pathway involved in negative regulation of apoptotic process; canonical Wnt signaling pathway involved in osteoblast differentiation; canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation; canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition; cell adhesion; cell fate specification; cell maturation; cell morphogenesis involved in differentiation; cell-cell adhesion; cell-matrix adhesion; cellular response to growth factor stimulus; cellular response to indole-3-methanol; central nervous system vasculogenesis; chemical synaptic transmission; chondrocyte differentiation; cranial ganglion development; cranial skeletal system development; detection of muscle stretch; dorsal root ganglion development; dorsal/ventral axis specification; ectoderm development; embryonic axis specification; embryonic brain development; embryonic digit morphogenesis; embryonic foregut morphogenesis; embryonic forelimb morphogenesis; embryonic heart tube development; embryonic hindlimb morphogenesis; embryonic skeletal limb joint morphogenesis; endodermal cell fate commitment; endothelial tube morphogenesis; epithelial cell differentiation involved in prostate gland development; epithelial cell proliferation involved in prostate gland development; epithelial to mesenchymal transition; epithelial tube branching involved in lung morphogenesis; establishment of blood-brain barrier; establishment of blood-retinal barrier; fibroblast growth factor receptor signaling pathway; fungiform papilla formation; gastrulation with mouth forming second; genitalia morphogenesis; glial cell fate determination; hair cell differentiation; hair follicle morphogenesis; hair follicle placode formation; hindbrain development; hypothalamus development; I-kappaB kinase/NF-kappaB signaling; in utero embryonic development; layer formation in cerebral cortex; lens morphogenesis in camera-type eye; lung epithelial cell differentiation; lung induction; lung-associated mesenchyme development; male genitalia development; MAPK cascade; mesenchymal cell proliferation involved in lung development; mesenchymal stem cell differentiation; metanephros morphogenesis; midbrain dopaminergic neuron differentiation; myoblast proliferation; negative regulation of angiogenesis; negative regulation of apoptotic process; negative regulation of apoptotic signaling pathway; negative regulation of canonical Wnt signaling pathway; negative regulation of cell population proliferation; negative regulation of chondrocyte differentiation; negative regulation of DNA-templated transcription; negative regulation of gene expression; negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis; negative regulation of mitotic cell cycle, embryonic; negative regulation of neuron apoptotic process; negative regulation of oligodendrocyte differentiation; negative regulation of osteoclast differentiation; negative regulation of oxidative stress-induced neuron death; negative regulation of protein sumoylation; negative regulation of transcription by RNA polymerase II; nephron tubule formation; neural plate development; neuroblast proliferation; neuron fate determination; neuron migration; neuron projection extension; odontogenesis of dentin-containing tooth; oligodendrocyte differentiation; oocyte development; osteoclast differentiation; oviduct development; pancreas development; positive regulation of apoptotic process; positive regulation of branching involved in lung morphogenesis; positive regulation of cell differentiation; positive regulation of core promoter binding; positive regulation of determination of dorsal identity; positive regulation of DNA-binding transcription factor activity; positive regulation of DNA-templated transcription; positive regulation of endothelial cell differentiation; positive regulation of epithelial cell proliferation involved in prostate gland development; positive regulation of epithelial to mesenchymal transition; positive regulation of fibroblast growth factor receptor signaling pathway; positive regulation of gene expression; positive regulation of heparan sulfate proteoglycan biosynthetic process; positive regulation of histone H3-K4 methylation; positive regulation of I-kappaB kinase/NF-kappaB signaling; positive regulation of MAPK cascade; positive regulation of mesenchymal cell proliferation; positive regulation of myoblast proliferation; positive regulation of neuroblast proliferation; positive regulation of neuron apoptotic process; positive regulation of osteoblast differentiation; positive regulation of skeletal muscle tissue development; positive regulation of stem cell proliferation; positive regulation of telomerase activity; positive regulation of telomere maintenance via telomerase; positive regulation of transcription by RNA polymerase II; positive regulation of transcription elongation by RNA polymerase II; proteasome-mediated ubiquitin-dependent protein catabolic process; protein localization to cell surface; protein polyubiquitination; proximal/distal pattern formation; regulation of angiogenesis; regulation of calcium ion import; regulation of centriole-centriole cohesion; regulation of centromeric sister chromatid cohesion; regulation of fibroblast proliferation; regulation of myelination; regulation of nephron tubule epithelial cell differentiation; regulation of neurogenesis; regulation of protein localization to cell surface; regulation of protein ubiquitination; regulation of secondary heart field cardioblast proliferation; regulation of smooth muscle cell proliferation; regulation of synapse assembly; regulation of T cell proliferation; regulation of timing of anagen; renal inner medulla development; renal outer medulla development; renal vesicle formation; response to estradiol; response to xenobiotic stimulus; smooth muscle cell differentiation; stem cell population maintenance; stem cell proliferation; sympathetic ganglion development; synapse organization; synaptic vesicle clustering; synaptic vesicle transport; T cell differentiation in thymus; thymus development; trachea formation; transcription by RNA polymerase II",2.7389187380322255e-05
73,"Q9BRH5","Homo sapiens (Human)","CHEMBL3638325","","","","Alphafold2",-6.6,"DGAT1 protein","DGAT1","triglyceride biosynthetic process",2.3398415578412823e-05
74,"P48066","Homo sapiens (Human)","CHEMBL5208","ENSG00000132164","S6A11_HUMAN","Research target;Clinical Trial target","Alphafold2",-6.5,"GABA transporter 3","SLC6A11;GABT3;GAT3","brain development; gamma-aminobutyric acid reuptake; monocarboxylic acid transport; response to xenobiotic stimulus; sodium ion transmembrane transport",2.332095755264163e-05
75,"P16109","Homo sapiens (Human)","CHEMBL5378","","LYAM3_HUMAN","Successful target","1G1S",-6.8,"P-selectin","SELP;GMRP;GRMP","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules; calcium-mediated signaling using intracellular calcium source; cell adhesion; defense response to Gram-negative bacterium; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules; inflammatory response; leukocyte cell-cell adhesion; leukocyte tethering or rolling; positive regulation of leukocyte migration; positive regulation of leukocyte tethering or rolling; positive regulation of phosphatidylinositol 3-kinase signaling; positive regulation of platelet activation; regulation of integrin activation; response to cytokine; response to lipopolysaccharide",2.293181387358345e-05
76,"Q9NZ08","Homo sapiens (Human)","CHEMBL5939","ENSG00000164307","ERAP1_HUMAN","Research target","2YD0",-6.9,"Endoplasmic reticulum aminopeptidase 1","ERAP1;APPILS;ARTS1;KIAA0525;UNQ584/PRO1154","adaptive immune response; angiogenesis; antigen processing and presentation of endogenous peptide antigen via MHC class I; antigen processing and presentation of peptide antigen via MHC class I; fat cell differentiation; membrane protein ectodomain proteolysis; peptide catabolic process; positive regulation of angiogenesis; proteolysis; regulation of blood pressure; regulation of innate immune response; response to bacterium",2.1292864403221756e-05
