Symbol,log2FoldChange,pvalue
VARS2,0.094340036,0.055768486
ALG8,0.272633512,0.05577445
ATP13A2,0.10914125,0.055778054
ZNF805,0.194540643,0.055799536
KCNIP3,-0.144504512,0.055802952
PLA2G2A,-0.11002581,0.05580574
LOC101928953,-0.123924321,0.055826683
MIR21,0.293992929,0.055835328
CNPY1,-0.145836405,0.055836623
SNORD116-9,0.587477548,0.05592167
ACTL7B,-0.123144012,0.055923251
GSG1,-0.1178275,0.055923745
CLDN3,-0.111813107,0.055976699
ABHD14B,0.09933431,0.055976882
FBH1,0.110725143,0.055994782
IFT81,-0.136787345,0.055998053
COL20A1,-0.101016762,0.056029778
KRBA1,-0.101946071,0.056046606
SRI,0.168145143,0.056055351
FCGR1CP,0.395933881,0.056083413
LYPLA1,0.128140321,0.056085594
MYOD1,-0.126829726,0.056099187
CCDC198,-0.105819714,0.05610756
SLC46A2,0.1731625,0.056114843
BCL6B,-0.105814238,0.056129069
RHBDL1,-0.121990357,0.056130252
ERP29,0.191547952,0.056158889
TRMT9B,-0.092901655,0.056180658
AKAP3,0.095219083,0.05621569
TPSD1,-0.16375006,0.056234896
P2RY1,-0.099434833,0.056283051
MAPK8IP2,-0.108704,0.056293491
STAU1,-0.166420595,0.056327528
ZSCAN29,0.148909655,0.056329224
LOC284788,-0.155702393,0.056340748
LINC00469,-0.121497952,0.05636429
C1QTNF8,-0.14107019,0.05640334
TREX2,-0.126893369,0.056418735
C16orf92,-0.130591095,0.056449762
CACUL1,0.142064524,0.056462423
ANKRD34C,-0.141284631,0.056465422
SPTAN1,0.223134119,0.056480248
FBXO24,-0.127718262,0.056510858
TNKS,0.116944107,0.056519086
PERM1,-0.118308702,0.056546197
CLIC2,-0.448038798,0.056551062
TMEM214,0.151168571,0.056564385
ZNF778,0.102030881,0.056576792
GPR85,-0.099253393,0.056582915
MLEC,0.187818583,0.056613013
ATXN7L3B,0.123176345,0.056631897
HS1BP3,-0.118084143,0.056634496
ICA1L,0.108012512,0.056680949
GPC1,-0.110614155,0.056694095
DCHS1,0.096993238,0.05670137
BPIFB3,-0.153599702,0.056711276
SWSAP1,-0.09000869,0.056757444
DCST1,-0.11667156,0.056767426
ALOX5,0.167945476,0.056770279
RANBP10,-0.317063476,0.056790291
FLJ16734,0.214699881,0.056803013
DDC,-0.096533048,0.056806355
BOD1L2,-0.116952738,0.056819755
NKAIN3,-0.099532393,0.056833581
RPS6KL1,-0.115975833,0.056834292
HDHD3,0.126689238,0.056834526
PTPRH,-0.140304905,0.056853368
TRDN,-0.100594452,0.056865716
HOGA1,-0.143708619,0.056920583
BTBD2,0.125005798,0.05693618
NEURL4,0.110419631,0.056936498
ZNF189,0.158569976,0.056949681
ECHDC2,0.143262631,0.056973168
OR13J1,-0.134218595,0.056974065
RPS3,0.244484048,0.056998156
PAIP2B,0.154168429,0.057013176
SNORA4,0.293149464,0.057016116
SPANXN3,-0.132061262,0.057034877
RAB26,-0.11858056,0.057072046
GCK,-0.109635393,0.057080744
MGST3,-0.288451714,0.057197139
LOC645010,-0.130497536,0.057225939
LINC00898,-0.124452857,0.057260981
FBXL4,-0.134968048,0.057294222
A2ML1,-0.137578393,0.057330673
JMJD6,0.138636417,0.057377596
DSG2,-0.108608393,0.057382191
H2BC19P,0.29002475,0.057406165
NCR3LG1,0.17282975,0.05741377
FAM181B,-0.138214417,0.057421614
CUL3,-0.155490381,0.057422145
VGLL3,-0.091117512,0.057426143
N4BP3,-0.106024548,0.057430244
CNGA3,-0.124673774,0.057444199
ABRA,-0.10412706,0.057451813
CDH17,-0.098730321,0.05746605
RLBP1,-0.119158048,0.05747714
BRI3BP,0.157208738,0.057478284
C6orf132,-0.096358452,0.057506307
LOC100506127,0.176977464,0.057512053
POLR3C,0.158589905,0.057530014
CCDC154,-0.121937786,0.057583492
ZNF200,0.145876857,0.057622103
ACTL8,-0.133270619,0.057640939
KRTAP10-8,-0.114245167,0.05768344
PHLDB1,-0.114779917,0.057735707
AKIRIN2,-0.149538381,0.057781248
C19orf53,0.126321821,0.057795102
TMSB4XP6,-0.075744167,0.057805609
UBAP1,-0.171772417,0.05783117
TRIM16,0.14948775,0.057907038
PIK3R2,-0.161586357,0.057949621
CLDN1,-0.12029806,0.058012457
SLIT3,-0.10369131,0.058013
OR5K3,-0.10489606,0.058018187
LOC440300,-0.106198643,0.058019642
TLE3,0.221022667,0.05803352
MITF,0.130364238,0.058059779
COL4A4,-0.104020679,0.058061183
ZFAND3,-0.167541714,0.058079973
TELO2,-0.125339952,0.058086104
PCNX2,0.222362976,0.058102476
FAM47E-STBD1,-0.115247,0.058105629
GALNTL6,-0.104875762,0.058108469
ANKRD1,-0.115650619,0.05811671
TNFSF12-TNFSF13,0.123203667,0.058125827
B3GNT9,-0.094473881,0.058143878
ALDH3B1,0.128394369,0.058167832
EFHD1,-0.128046548,0.058185016
FBN2,0.203162869,0.058195869
CTR9,-0.158733833,0.058260226
SFTPC,-0.115172012,0.058279524
LAYN,-0.122220643,0.058319195
MKI67,-0.229953476,0.058362947
LOC100288254,-0.107542286,0.058451114
SLC2A11,-0.101019012,0.058465005
GSN,0.266688476,0.058496952
AKAP8,0.084551702,0.058506663
CAMSAP1,0.143863488,0.058536644
IDH3A,0.305985321,0.058544391
RASSF1,0.141498952,0.058545745
R3HDM1,0.173299702,0.058549037
CLK1,-0.251180238,0.058597074
FAM185A,-0.128666952,0.058632013
NKD2,-0.124444262,0.058677904
MARCHF11,-0.093261333,0.058681781
SHANK1,-0.109777298,0.058691118
TMEM42,-0.082503298,0.05872806
TBC1D31,-0.193317798,0.058746277
KLHL14,-0.185220488,0.058753242
ADD1,-0.128000714,0.05878419
C1orf74,0.112446119,0.058793153
TGFBRAP1,0.217647857,0.058795743
HOXC8,-0.12796531,0.058801873
COQ10B,-0.126533048,0.058818342
LOC100128175,-0.249660286,0.058821732
ERGIC1,0.252075238,0.058865838
NUTM1,-0.123370131,0.058901673
SIK3,0.12341206,0.058929067
SSX8P,-0.14069569,0.058962006
CAPZA2,-0.255599512,0.058971475
NSD3,-0.101263095,0.058994689
CISD2,-0.358625048,0.058998418
CFAP53,-0.087859881,0.059103932
PRKAB1,0.129272214,0.059142516
GUCY1A2,-0.133735571,0.059148863
TMEM51-AS1,-0.132697798,0.059186615
PRPSAP1,0.157896071,0.059204875
SYT4,-0.150706762,0.059221289
HNRNPUL2-BSCL2,0.126218821,0.059229766
PABIR1,-0.113176083,0.05923816
ALG9,0.196391952,0.059244722
ZNF280C,0.210537179,0.059245558
MIR124-1,-0.108783286,0.059259126
CFAP61,-0.113495536,0.059279507
HPCA,-0.124370619,0.059314762
ZNF174,0.104370595,0.059316282
WDR93,-0.133566143,0.059322634
HSDL1,0.109092393,0.0593304
BAIAP2L2,-0.10351925,0.059336503
HPF1,0.193919036,0.059337421
GCM2,-0.125795143,0.059386444
MYO15A,-0.108273726,0.059420424
SNORA28,0.227563464,0.059434039
MASP1,-0.104567976,0.059435224
NPTN,0.124837619,0.059448526
UBE3B,0.081992202,0.059479084
SLC25A33,-0.0980145,0.059479404
HEXA-AS1,0.110785381,0.059521861
IL13RA2,-0.081115857,0.059529181
RPL4,0.222814167,0.059539869
WNT4,-0.107082214,0.059555971
TGFB1,-0.131162738,0.059567496
CHD5,-0.127992845,0.059571018
MIR208A,-0.123247476,0.059579468
SRPK3,-0.106160286,0.059624257
GSTT2B,-0.111178083,0.059653949
FAN1,0.168406,0.059717957
SALL3,-0.117912024,0.059727742
ROR1,-0.113817488,0.059736412
CBSL,-0.175260881,0.059756442
MARCO,-0.11024894,0.05975823
TEX13B,-0.108337655,0.05976762
POLA1,-0.142161119,0.059789719
ANO4,-0.09560975,0.059815149
TFCP2,0.16139819,0.059821342
KLHL21,0.211487536,0.059838726
FOXL2,-0.124200762,0.059843524
LOC101059935,0.288153167,0.059874545
UTY,-1.279561131,0.059903798
ASXL1,0.137365714,0.059923625
HK1,-0.199775452,0.059944272
ADHFE1,0.295199857,0.060060453
KLHDC1,0.308584631,0.060068642
ADAMTS15,-0.110402,0.060079245
NEK2,-0.150516905,0.06009405
ADCY1,-0.106886774,0.060094317
ATP2B2,-0.107843381,0.06012836
OR8I2,-0.110836857,0.0601645
SLC16A4,-0.135695119,0.06017655
PLEKHG1,-0.255506726,0.060192088
BIRC6,0.122051988,0.060195816
GRM4,-0.12012925,0.06019656
COX7A1,-0.099209429,0.060206772
KCNK10,-0.128653869,0.06022019
VCAM1,-0.129522071,0.060237292
STXBP5L,-0.092738429,0.060245948
FLJ32742,-0.186185595,0.060258846
MAPT-AS1,-0.123577798,0.060271033
PAGE5,-0.13348244,0.060304602
SPINDOC,-0.093325286,0.060309161
TENT5C,-0.321374286,0.060325072
LRRC32,-0.14971281,0.060328653
ZNF516-DT,-0.121831929,0.060336283
DMRTB1,-0.125244298,0.060404452
ZNF175,0.23641294,0.060408747
MIRLET7I,0.113142155,0.06043586
TRAFD1,0.227466619,0.060460352
OR6K2,-0.123698821,0.060465768
DLAT,0.172941202,0.060470581
MIR23B,-0.119528179,0.06056196
LHFPL1,-0.10262475,0.060575196
ARSA,0.196531845,0.060586474
SLFN14,-0.420110131,0.060587388
SHANK2,-0.108986095,0.06060938
DPY19L4,0.235388405,0.060619522
AP4M1,0.071281512,0.060676052
PRR32,-0.149314,0.060774527
AMZ1,-0.089515179,0.060811088
C9,-0.093843869,0.060827615
EHD2,-0.097729571,0.060836845
BCOR,0.17131756,0.06088167
PARPBP,-0.227700524,0.060949541
DNAJC22,-0.152044833,0.060953253
IVL,-0.133192357,0.060965557
THAP5,0.154604536,0.060967954
HTRA4,-0.083613667,0.060973086
PHYHD1,-0.121132071,0.06098288
ZNF34,0.082690143,0.060992279
GABRG1,-0.085055929,0.060999549
RABL3,0.230180333,0.061029472
EBNA1BP2,0.194733143,0.061044122
SNORD102,0.247106071,0.061068041
UBQLN4,0.10024,0.061069466
SYNJ1,0.142705738,0.061120294
PMM1,0.080194274,0.06113975
GPRASP3,-0.104208762,0.061143406
AGBL4,-0.13329975,0.061155889
ZFP92,-0.130447202,0.06116559
YPEL1,-0.189012536,0.061205461
JAM3,0.356901762,0.061223772
WAS,0.202994893,0.061253811
CDKN2AIPNL,0.130287821,0.061255055
VPREB3,-0.205975143,0.061266389
DCAF4L2,-0.111004964,0.06130499
IL18BP,0.094593738,0.061321198
TPT1P8,-0.088988417,0.061339181
ZNF621,0.152619548,0.061349714
SORT1,0.255015786,0.06144407
OR52E8,0.128078524,0.061475136
SNORA35,-0.109284964,0.06148448
FGF13,-0.116172798,0.061535333
CPEB1,-0.108277155,0.06155125
PTPRB,-0.104193536,0.061567803
ADRA2B,-0.102698917,0.061603054
TRPC7,-0.111143179,0.061613224
VLDLR-AS1,-0.119665774,0.061622541
TSPYL1,0.231595869,0.061626702
ZNF749,0.208647333,0.061647471
GPR25,-0.107649774,0.061653748
HROB,-0.17624306,0.061670405
RIPOR1,0.151614,0.061672871
ZNF469,-0.100350024,0.061682865
MIR375,-0.134709929,0.061699949
RNF213,0.289108167,0.061727572
RNA45S5,-0.057420952,0.061741519
GPR155,0.161303536,0.061792982
TRPC5,-0.096742774,0.061803533
RNF13,0.127485476,0.061809837
EXOSC5,0.100456274,0.061824116
OR6K6,-0.095345214,0.061887454
SIGLEC8,0.163225714,0.061888472
SOD3,-0.124644714,0.061947296
PKLR,-0.14116806,0.06196023
EXTL1,-0.136236393,0.06197541
SORBS2,-0.103994893,0.061982264
MMP10,-0.116405095,0.062042775
MUC2,-0.100709976,0.062066501
LRTM2,-0.13254875,0.062106667
ZBTB5,0.117129298,0.062120894
TRIM60,-0.125173988,0.062153218
SERPINB1,0.1952175,0.062179317
TEX38,-0.085628821,0.062213319
XKR8,0.195647083,0.062224717
TAAR3P,-0.127168119,0.062225748
CERS1,-0.123613464,0.062231257
DPPA3P2,-0.156260512,0.062241015
SHISA2,-0.117981131,0.062247331
FGF16,-0.117833024,0.062252765
TXNDC8,-0.078675286,0.062285696
CXCR6,-0.241833952,0.062313465
RBFOX1,-0.101007024,0.062352371
LCN1,-0.223037048,0.06236718
CYP19A1,-0.140592583,0.06237725
RPS10-NUDT3,-0.339026667,0.062408717
H3C10,-0.288171369,0.062445883
SLC28A1,-0.122493583,0.062476929
SLC13A1,-0.071303,0.062483895
SHISA6,-0.133576036,0.062492174
SYT5,-0.111112833,0.062550073
FAM167B,-0.106576893,0.062565954
PPP1R14A,-0.113044667,0.062566153
ASPDH,-0.104641274,0.062604622
EPN3,-0.099570286,0.062614622
NECTIN4,-0.143045512,0.062624541
GNAS,-0.110438786,0.062677459
ZNF711,0.088307143,0.062721649
LITAF,0.12596,0.062729491
TXLNG,0.202110929,0.062761795
TRNP1,-0.099142631,0.062764438
LINS1,0.204340119,0.062764955
MICALL2,-0.12780881,0.062821564
DMRTC1B,-0.116107595,0.062822716
PWP2,0.082756286,0.062842785
DYNC1I1,-0.11317469,0.06291485
RPS2,0.135738214,0.062918883
AFF2,-0.14582731,0.06293129
ANAPC7,0.122415631,0.062935706
COX7B2,-0.10324481,0.062943703
DLX1,-0.106685107,0.062972963
UG0898H09,-0.138086167,0.062996505
CCDC124,-0.131942571,0.063009545
IGSF11,-0.11836131,0.063031391
ST20-AS1,0.158644381,0.063033961
ZC3H18-AS1,-0.081098952,0.063043597
TAF9B,0.303878357,0.063076186
ETNPPL,-0.076444929,0.063078282
DMC1,-0.109124131,0.063115027
CDK2,0.130604083,0.063130167
GSS,0.156723202,0.063151299
FAM83F,-0.119917214,0.063250073
NKPD1,-0.138450667,0.06325941
MRPL32,-0.155520667,0.063273992
TRPM3,-0.079811333,0.063343376
INHBB,-0.135152964,0.06334492
NDUFB9,0.20037969,0.063389668
PREPL,0.242711143,0.063417887
JADE2,0.145019131,0.063439816
SLC35E1,0.100130131,0.06347274
DPP6,-0.102236452,0.063493627
TMED6,-0.11559669,0.063506171
ELOVL5,0.110851548,0.063509648
WNT11,-0.102197417,0.063510942
SIPA1L1,0.238445738,0.063552134
CA8,-0.15747044,0.063571545
MATN2,-0.109282583,0.063627329
ABCC3,0.22481325,0.063647959
YBEY,-0.125940179,0.063724012
GDF2,-0.13286719,0.063770466
NALCN,-0.097960405,0.063771601
CRH,-0.084848631,0.063776368
PLEKHJ1,0.074371179,0.063814045
SNORD116-23,0.406755893,0.063819906
HES6,-0.126800571,0.063831101
PBX3,0.106708488,0.063945626
COPS2,-0.348506964,0.063946856
STRN3,-0.149637083,0.063951699
ABHD17A,-0.132530905,0.063966633
TBC1D30,0.203699024,0.063967603
ZNF367,-0.087078583,0.063982487
H4C5,0.210079964,0.064046166
OLIG2,-0.137703571,0.064060327
SLC22A4,-0.275965857,0.064082961
PRKCZ,0.1518175,0.064090122
EIF3B,-0.180491655,0.064102597
HDAC4,0.152411333,0.06410761
SNORD12C,0.323152298,0.064129833
IL9R,-0.105164667,0.064146993
ARFRP1,-0.083200095,0.064174392
KLHDC3,0.148843429,0.064200217
KCNJ5-AS1,-0.091636381,0.064239137
TCF4,0.269660917,0.064303142
LPAR4,-0.154388417,0.06430328
TCAF1,0.190422643,0.064309627
CLSPN,-0.093694524,0.064450868
RALBP1,-0.186250583,0.064464675
BZW1,-0.145115905,0.064486177
UNC45B,-0.118138643,0.064494355
EXD3,-0.112077012,0.064494546
B3GNT2,-0.209366976,0.064579564
TSTD1,0.143913143,0.064581468
ATP6V0C,-0.152855238,0.064584756
CDHR2,-0.123255631,0.064599829
SUSD5,-0.143078357,0.064635969
OPN3,0.166249214,0.064639601
GPD1,-0.110636226,0.064646191
ZNF221,0.117274524,0.064689462
TBCB,0.129722929,0.064699702
PCDHB15,-0.151680369,0.064725707
LSG1,0.194190262,0.06475095
POLL,-0.282580048,0.064769448
GRIN2C,-0.114437619,0.064849809
BARD1,-0.18770569,0.064926738
CCDC9B,-0.106408381,0.064930933
LURAP1,-0.108644262,0.06494352
OTOR,-0.128223369,0.064979283
TINAGL1,-0.126129119,0.064980369
CYP4F22,0.193761405,0.065014127
DLL4,-0.116915321,0.065036757
CEP250,0.079396702,0.065084542
GID4,-0.256725595,0.065090404
RNU105C,-0.128749286,0.065131875
IMPDH2,0.173671952,0.065170863
SIX6,-0.111551536,0.065328292
PRSS3,-0.119687548,0.065345035
OR2T1,-0.112380024,0.065379037
SLC25A20,0.224545738,0.06538504
FKBP1A-SDCBP2,-0.093196452,0.065438006
B4GALNT1,-0.122525333,0.0654462
ZNF646,0.160245202,0.065476223
GARIN5A,-0.112936643,0.065480821
IZUMO1R,-0.106966548,0.065501739
CEACAM7,-0.11829244,0.065521744
KDF1,-0.111953226,0.065579242
LRRC2-AS1,-0.137965607,0.065590471
SNX33,0.110705524,0.065658773
HOXB9,-0.123355345,0.065674004
RNF144B,0.278101607,0.065686146
RSPH10B2,-0.109104333,0.065718523
ZNF99,-0.089476155,0.065789737
BPGM,-0.32041356,0.065799198
CBLN3,-0.10003325,0.06580131
SNORA54,0.205397726,0.065809133
NCAM2,-0.095392286,0.065823023
RUFY3,0.214649845,0.065893305
MAPK8,0.187716107,0.06590192
GNA11,0.102757798,0.065930938
SMARCA2,0.120788262,0.06593473
AREG,-0.222934393,0.065966234
GOLGA2P6,0.082215905,0.065993746
ATP10B,-0.091861786,0.066000714
LCOR,0.15049031,0.066006625
LOC149950,-0.093287714,0.066021588
TAF3,0.119521917,0.06603018
UPK1A,-0.100903571,0.066095852
SMCR5,-0.099139726,0.066100565
UCK2,0.108257869,0.066135385
SLC7A10,-0.095417738,0.066148499
ST13P5,-0.243521333,0.06616187
JARID2,0.154246607,0.06618986
MELK,-0.160547738,0.066201178
FETUB,-0.102786214,0.066218342
SRM,0.16023619,0.06623714
IL3RA,0.308870917,0.066239212
DLGAP5,-0.276322167,0.066271644
CMTM8,-0.114243726,0.066290987
ENTPD1,0.203997619,0.06629648
COX10,0.163754631,0.066310184
SIGLEC12,-0.145057952,0.066397712
RNF181,-0.08738294,0.066398954
LDLRAD2,-0.100659714,0.066416333
EEPD1,0.204029929,0.066429751
MYO18B,-0.110549607,0.066431825
H2BC15,-0.131718536,0.066432172
IL20,-0.096323452,0.066451802
SEPTIN9,0.137907298,0.066481627
GJA4,-0.129407571,0.066509884
SUV39H1,0.114199762,0.066513873
UTP15,0.343261321,0.066541549
C16orf74,-0.075827202,0.066580411
TBC1D23,-0.128672214,0.066582905
EDEM2,0.135328762,0.066603837
THADA,0.137987643,0.066624512
MNS1,-0.098818321,0.066658304
TEKTIP1,-0.125475262,0.066669598
MAPKAPK5,0.174200976,0.066687952
NCKAP1L,0.140468393,0.066729068
CCDC8,-0.11215544,0.066753392
CCDC148,-0.068104893,0.06682049
CLDN16,-0.10303481,0.066855446
HSD3B7,-0.105206786,0.06687393
LOC400927-CSNK1E,0.113552357,0.066888187
RAPGEF4,-0.095908429,0.066929735
SNORD24,0.264290155,0.066952225
ZDHHC18,0.188070357,0.066957256
DSCR10,-0.134296881,0.066957319
PIWIL1,-0.111140274,0.066965356
STXBP3,-0.183119821,0.067021974
XPO7,-0.243579298,0.067064138
BEX2,-0.126989488,0.067132458
SNORA70,0.200035,0.067159491
SLC15A5,-0.076351786,0.067172244
LOC107987020,0.211305107,0.067213615
CTSD,0.145343333,0.067215352
SCGB1D4,-0.104571833,0.067222378
CASR,-0.112103452,0.067230688
TMEM207,-0.106512107,0.067282957
ATAD5,-0.20805525,0.067308381
TP53AIP1,-0.128242393,0.067317943
SLC31A1,0.208861774,0.067348662
PEX14,0.080348226,0.067423699
DENND1A,0.120466952,0.067427812
HS3ST3B1,0.174208607,0.067430161
MRGPRG-AS1,-0.121581524,0.067435147
RPL8,0.142377381,0.067439686
PCDHA8,-0.09603969,0.067501619
LUM,0.062145155,0.067517275
DDX43,-0.12648744,0.067522142
FRK,-0.083510119,0.067554006
DHFR,0.124605524,0.067560961
GNAI3,-0.175698893,0.067574883
DENND6A,0.103519083,0.067580693
KSR1,0.177631119,0.067585303
MROH6,0.186346512,0.067598264
MZF1,0.102261476,0.067604908
PRPF3,0.115432226,0.067629438
PPP1R26,-0.09234675,0.067646094
RPS6KA4,0.0988,0.067650897
CIBAR2,-0.117742179,0.067669378
OVCA2,0.070742762,0.06770801
NLRP8,-0.111445726,0.06774629
RRP7A,0.169311167,0.067747643
TMEM198B,0.104750333,0.067749702
OR8K3,-0.118654048,0.067777008
STEAP1,-0.103289071,0.067778576
DDTL,-0.103645095,0.067782737
FRMPD2,-0.11824525,0.067783505
DMAC1,0.262071595,0.067799676
BTN2A1,0.158625107,0.06780909
RPL27A,0.187393774,0.067824142
FRMD8,0.124494631,0.067850611
SNF8,-0.11434425,0.067885869
SMC4,-0.182977012,0.067896375
MIDEAS,0.11880019,0.067935394
IGSF21,-0.117552988,0.067937574
OK/SW-CL.58,-0.115463833,0.067960048
ARID3C,-0.129820548,0.06796978
KRT83,-0.111198607,0.067988502
SEC24C,0.113560095,0.0680051
FLJ13224,-0.101735143,0.068024669
PDIA4,0.24007625,0.068030256
TLN1,0.23341294,0.068056439
AQP12B,-0.135182107,0.068059251
FLJ44385,-0.130429286,0.068062429
DDR2,-0.188129917,0.068142571
GRIA2,-0.111443024,0.068149608
STYX,0.195526619,0.068149647
PKM,0.16925531,0.068156233
GLIPR1L1,-0.089704464,0.068158885
ZNF75D,0.131007964,0.068169519
ANAPC1,0.171082869,0.068176859
CST8,-0.145079952,0.068215159
DES,-0.099876131,0.068243454
CDKL5,0.233497452,0.068246804
OR2T5,0.147683488,0.068276623
VWA5B1,-0.119293238,0.068296045
DCN,-0.080490298,0.068298296
SIGLEC6,0.090093893,0.068313848
GATA5,-0.110584631,0.068321943
UBE3D,0.132466488,0.068341045
SYNJ2BP-COX16,0.240657833,0.068398093
WNK1,-0.219623333,0.068398943
LOC400968,-0.118397845,0.068469391
GPR148,-0.13073844,0.068495744
CCM2L,-0.106396869,0.068529403
LINC01465,-0.111695607,0.068553166
TRIM27,0.18421481,0.068623995
GCAT,-0.202421964,0.068637937
MGLL,0.168456452,0.068652817
RXFP3,-0.11877281,0.068656567
OTUD5,0.110767417,0.068682404
DNAH12,-0.07897394,0.068689985
PTHLH,-0.095945929,0.068709798
BMP10,-0.099891179,0.068717802
VRK1,-0.400905583,0.068728357
LOC102725104,-0.186584381,0.068733967
TASP1,0.139298571,0.068757424
FBXO30,-0.138653476,0.068781851
GGT2P,0.113335012,0.068786154
VDAC2,0.172724595,0.068854345
PPEF2,-0.093204679,0.068877664
SCGB1D2,-0.095544595,0.068906887
APOA4,-0.114219679,0.068935265
C3orf36,-0.110949214,0.068950613
LOC100133106,-0.129305107,0.069002616
TUBB4B,0.158805833,0.069109477
SPICE1,0.220437524,0.069117583
RAB3IL1,-0.20809175,0.069121436
PTGES3L-AARSD1,0.09082706,0.069123023
IL4I1,0.082444274,0.06915185
NBPF7P,-0.100704071,0.069178346
ABCG4,-0.097406845,0.069192863
SLC6A16,0.15082044,0.069211241
PC,-0.107866095,0.06921207
SIX1,-0.146392917,0.069288836
EBF4,-0.136564869,0.069330287
ZNF628,-0.105274167,0.069337017
MPG,-0.082100429,0.069378705
ATAD3A,-0.107907131,0.069378964
HCG4,-0.146062,0.06937967
NLRP5,-0.140525488,0.069393522
ANKRD33,-0.121728881,0.069483052
FURIN,-0.192142476,0.069519335
TFG,0.138139952,0.069546331
CDH8,-0.107351488,0.069549977
TFAP4,0.095073976,0.069557613
CCDC85C,-0.121050333,0.06956451
SEPT5-GP1BB,-0.118687548,0.069593346
MTRF1,-0.157754214,0.069616614
BCAR3,-0.092856214,0.069620194
TMEM26,-0.105726119,0.069653926
IKBIP,-0.290302405,0.069665581
MCAM,-0.10042906,0.069666623
APH1B,0.19754256,0.069669198
ZBTB7C,-0.106627024,0.069688723
CIBAR1,-0.128757976,0.069723595
OBSCN-AS1,-0.098311405,0.069773834
ZNF696,-0.096855298,0.069822795
ATP5ME,-0.147743155,0.069833803
SPMIP9,-0.10576369,0.06983571
CIMAP1D,-0.147490262,0.069847087
RBMS3,-0.095558821,0.069867469
PLEK,0.146671071,0.069893491
RFC2,0.121443655,0.069895727
PCDHB17P,-0.132391119,0.069901893
LOC645261,0.093875381,0.069973603
CRYGB,0.11449025,0.06997378
LCN10,-0.10166981,0.069978145
PPARG,-0.13106119,0.070009065
NT5DC1,0.158930274,0.070022153
NOCT,-0.079827667,0.070023227
LCE1C,-0.135390393,0.070034546
GCLC,-0.275122643,0.070038577
ARIH1,0.094480321,0.070039919
AK9,0.122618143,0.070077
FAXC,-0.139396417,0.070088944
MAP3K15,-0.154186131,0.070103631
CCDC107,-0.075136417,0.070108009
MVK,0.091612917,0.070151114
RDM1,-0.129169369,0.070162253
RFPL3,-0.102124548,0.070210093
C12orf57,0.329359774,0.070219519
PCSK2,-0.094690893,0.070221389
RTL6,0.147737833,0.07031288
PSMF1,-0.162449762,0.07032333
ARRDC3,0.184619762,0.070325029
FBXO34,-0.137636702,0.070326902
HOXD8,-0.128142345,0.070365667
FBXO11,-0.155904476,0.070376459
ADGRD1,0.14925531,0.0704582
DEFB112,-0.08534919,0.070506959
BAG6,-0.215953488,0.070508
SSUH2,-0.106595488,0.070545092
SMPD4,0.211987952,0.070589392
ZP4,-0.118811143,0.070598873
RBMXL3,-0.115735821,0.070607174
PTMA,-0.116519333,0.070632627
LOC100505530,0.51027075,0.070651514
MRPL10,0.112428155,0.070662263
AARS1,0.176748024,0.070765088
CBLB,0.26063531,0.070817696
LONRF2,-0.111090167,0.070840391
LARS2,0.15334694,0.070861474
ARSL,-0.097498119,0.070866424
MRPL40,0.229090583,0.070896047
TMX1,-0.26132831,0.070902709
MIR16-1,-0.209036345,0.070915752
OPLAH,-0.143965024,0.070934017
RNF17,-0.069644655,0.070934631
FCHO1,0.136808083,0.070944687
OR2G6,-0.145279429,0.070967444
UFD1,-0.113122595,0.070971468
DAND5,-0.135436143,0.070977492
CTRC,-0.116734619,0.070989186
APOC4-APOC2,-0.112244929,0.071013732
OR2AE1,0.150116095,0.071025193
LTO1,0.135439286,0.071060341
OR9H1P,-0.085218583,0.0711266
ZNF460,0.115796821,0.071144958
YBX1,-0.162707976,0.071180908
FBXL15,-0.100362262,0.071190644
DGKZ,0.10372975,0.071248622
NEK8,0.075675048,0.071256967
AQP11,-0.083568762,0.071264784
HSD17B11,-0.164639048,0.071273442
TPCN2,0.168571714,0.071276681
AGAP1,-0.14881031,0.071283272
HIGD2B,-0.096852179,0.071293294
CCDC116,-0.099362048,0.071309756
EPHA4,0.202242262,0.071362802
MIR200C,-0.148850643,0.071416863
WDR81,0.083104512,0.071427195
FRAS1,-0.092413119,0.071454018
PRMT1,0.1391025,0.071467714
LOC100132731,0.269724988,0.071487886
C5orf60,-0.138374893,0.071517311
PIK3CA,-0.163027643,0.071533858
SS18L2,-0.117190869,0.071557487
LIN52,0.162111405,0.071564598
DIAPH1,0.171347464,0.071581739
MBD3,-0.085836714,0.071593649
SLC52A3,-0.11421181,0.071599347
PRORSD1P,-0.079431833,0.071636288
ERCC6L2-AS1,0.148641762,0.071654269
CFAP52,-0.094361952,0.071656314
SMG5,0.179567786,0.071725978
TFAP2B,-0.114554833,0.071728784
WRAP73,0.097769167,0.07172923
BMP7,-0.114319512,0.071740662
RXFP2,-0.082116548,0.071743882
DECR1,-0.134162095,0.071779434
LOC100133315,0.267434036,0.071795051
FBXL22,-0.166958512,0.0717951
SLC38A8,-0.127016393,0.071802229
STK35,0.158648988,0.07180374
PRSS45P,-0.111383619,0.071893608
ENO4,-0.099310726,0.07193453
SUCLG1,-0.154420345,0.071939962
GFOD1,-0.097475857,0.071951719
BBS2,0.192315881,0.071990823
ZNF276,0.089185821,0.072005014
MUC21,-0.11581456,0.072018258
TBK1,-0.185113798,0.072020134
EPHB2,-0.157628821,0.072024371
