"","Target","Similarity.x","Similarity.y","Similarity"
"513","GDC-0834 (Racemate)",NA,-0.2023887,-0.23778068
"514","sirolimus",NA,-0.20210321,NA
"515","Cytochalasin B",NA,-0.20183313,NA
"516","Cytochalasin B",NA,-0.20183313,NA
"517","Valproic acid",NA,-0.20166412,-0.30428
"518","VX-11E",NA,-0.20136337,NA
"519","Prostoglandin A1",NA,-0.20130906,NA
"520","Clofarabine",NA,-0.20124125,NA
"521","Bazedoxifene HCl",NA,-0.20087816,NA
"522","K-115",NA,-0.20083557,NA
"523","Perhexiline",NA,-0.20059868,NA
"524","AC1N08ZR",NA,-0.2004941,NA
"525","Rigosertib",NA,-0.20045492,NA
"526","Carvedilol",NA,-0.20037827,-0.2577826
"527","BRD-K85797809",NA,-0.20018446,NA
"528","Moxisylyte",NA,-0.20015771,NA
"529","Lysylphenylalanyltyrosine",NA,NA,-0.34692776
"530","Phenethylisothiocyanate",NA,NA,-0.34212638
"531","SA-84512",NA,NA,-0.32539591
"532","Diethylstilbestrol",NA,NA,-0.32488253
"533","BMY-14802",NA,NA,-0.32342797
"534","CHEMBL610781",NA,NA,-0.32178298
"535","BRD-K91600270",NA,NA,-0.3147903
"536","BRD-K39921295",NA,NA,-0.31247742
"537","6Alpha-fluorotestosterone",NA,NA,-0.31184371
"538","L-152804",NA,NA,-0.31058792
"539","SA-440832",NA,NA,-0.30873133
"540","PD-0325901",NA,NA,-0.30674145
"541","Tosedostat",NA,NA,-0.30519855
"542","NSC119236",NA,NA,-0.30209349
"543","CHEMBL3188110",NA,NA,-0.30176239
"544","Gefitinib",NA,NA,-0.30085332
"545","CHEMBL1938917",NA,NA,-0.30011497
"546","MLS003672589",NA,NA,-0.29749497
"547","Neurodazine",NA,NA,-0.2957915
"548","STK219801",NA,NA,-0.29520738
"549","Cilastatin",NA,NA,-0.2950504
"550","Cilastatin",NA,NA,-0.2950504
"551","Arundine",NA,NA,-0.29489253
"552","ST-91",NA,NA,-0.29444064
"553","GW7647",NA,NA,-0.29366733
"554","Halcinonide",NA,NA,-0.2924563
"555","GSK 3BETA Inhibitor VIII",NA,NA,-0.29218326
"556","Quinidine Gluconate",NA,NA,-0.29202121
"557","FH 535",NA,NA,-0.29115224
"558","5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol",NA,NA,-0.29024833
"559","Pyridostigmine",NA,NA,-0.29009445
"560","BRD-K20178228",NA,NA,-0.28920611
"561","KBIO3_002763",NA,NA,-0.2888603
"562","Skiii",NA,NA,-0.28848795
"563","Diclofensine (hydrochloride)",NA,NA,-0.28708934
"564","BRD-K00199686",NA,NA,-0.28681266
"565","(-)-Lobeline",NA,NA,-0.28642825
"566","SCHEMBL2559243",NA,NA,-0.28535656
"567","2-Amino-3-(4-hydroxy-1H-indol-3-yl)propanoic acid",NA,NA,-0.28523754
"568","SA-1939945",NA,NA,-0.28521915
"569","Ofloxacin",NA,NA,-0.28518945
"570","TIE2 Kinase Inhibitor",NA,NA,-0.2845386
"571","Propafenone",NA,NA,-0.28446741
"572","SA-424294",NA,NA,-0.28391893
"573","NEFIRACETAM",NA,NA,-0.28381806
"574","GSK 525762A",NA,NA,-0.28365669
"575","AZD-8330",NA,NA,-0.28365389
"576","SMR000651449",NA,NA,-0.28291415
"577","BRD-K50868745",NA,NA,-0.2821472
"578","Ketotifen",NA,NA,-0.2820347
"579","2-Bromo-n-[3-(pentanoylamino)phenyl]benzamide",NA,NA,-0.2819744
"580","BRD-K74659851",NA,NA,-0.28183926
"581","BRD-K35801592",NA,NA,-0.28117025
"582","BRD-K33384411",NA,NA,-0.28046544
"583","Histamine 2HCl",NA,NA,-0.28029689
"584","SCHEMBL3958507",NA,NA,-0.28027339
"585","EX527",NA,NA,-0.28017775
"586","201943-63-7",NA,NA,-0.28001802
"587","ST50591990",NA,NA,-0.27998949
"588","1-(1,3-Benzodioxol-5-ylcarbonyl)piperidine",NA,NA,-0.27963115
"589","SA-1939891",NA,NA,-0.27962986
"590","TOCRIS-0930",NA,NA,-0.27955319
"591","Zileuton",NA,NA,-0.27859959
"592","BRD-K59134391",NA,NA,-0.2785765
"593","RS-23597-190",NA,NA,-0.27828656
"594","CHEMBL1673039",NA,NA,-0.27805322
"595","Masitinib",NA,NA,-0.27744954
"596","Navitoclax",NA,NA,-0.27720017
"597","Castanospermine",NA,NA,-0.27715139
"598","BRD-K05456756",NA,NA,-0.27663237
"599","Probenecid",NA,NA,-0.27649106
"600","CHEMBL1900088",NA,NA,-0.27615283
"601","Nylidrin",NA,NA,-0.2759759
"602","PNU-74654",NA,NA,-0.27578317
"603","Semaxanib",NA,NA,-0.27555273
"604","BRD-K07125273",NA,NA,-0.27527636
"605","LBH-589",NA,NA,-0.27520045
"606","COT Inhibitor-2",NA,NA,-0.27472634
"607","Perphenazine",NA,NA,-0.27470217
"608","Amlexanox",NA,NA,-0.27444772
"609","ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE",NA,NA,-0.27443687
"610","MBX-2982",NA,NA,-0.27428569
"611","BRD-K86948282",NA,NA,-0.27407508
"612","VRT752271",NA,NA,-0.27338983
"613","BRD-K22754681",NA,NA,-0.27332866
"614","SPECTRUM_000890",NA,NA,-0.27290596
"615","Ticrynafen",NA,NA,-0.27260032
"616","Benzohydroxamate",NA,NA,-0.27186094
"617","BRD-K00429057",NA,NA,-0.27184535
"618","BRD-K41668190",NA,NA,-0.27160649
"619","BRD-K64877338",NA,NA,-0.27160215
"620","Fenobam",NA,NA,-0.27141739
"621","RU-24969",NA,NA,-0.27119406
"622","AG1295",NA,NA,-0.27101727
"623","SB525334",NA,NA,-0.27065282
"624","SA-1919667",NA,NA,-0.26987273
"625","CHEMBL1705549",NA,NA,-0.2697483
"626","ST4070043",NA,NA,-0.26956865
"627","Fluprostenol",NA,NA,-0.2693782
"628","I-BET151",NA,NA,-0.26895455
"629","GSK-319347A",NA,NA,-0.26839466
"630","Hydroflumethiazide",NA,NA,-0.26793342
"631","MLS000063560",NA,NA,-0.26773895
"632","BRD-K54285697",NA,NA,-0.26773736
"633","NCH-51",NA,NA,-0.26744195
"634","FR-180204",NA,NA,-0.26720372
"635","SJ 172550",NA,NA,-0.26696935
"636","BRD-K37638153",NA,NA,-0.2665034
"637","Azathioprine",NA,NA,-0.26613103
"638","Clarithromycin",NA,NA,-0.26588393
"639","BRD-K10436544",NA,NA,-0.26584381
"640","Warfarin",NA,NA,-0.265005
"641","CAM-9-021",NA,NA,-0.26466664
"642","DG-041",NA,NA,-0.26450613
"643","BRD-K46766834",NA,NA,-0.26378793
"644","Benfluorex",NA,NA,-0.26378366
"645","CHEMBL2204241",NA,NA,-0.26366054
"646","GSK-1904529A",NA,NA,-0.26362853
"647","BRD-K43528099-019-01-6",NA,NA,-0.26338812
"648","Broad-Sai-296",NA,NA,-0.26328121
"649","Pyrilamine",NA,NA,-0.26302142
"650","CHEMBL2152358",NA,NA,-0.26218056
"651","ACON1_001667",NA,NA,-0.26208462
"652","Nicotin-Amide",NA,NA,-0.26207783
"653","BRD-A69421747",NA,NA,-0.2615825
"654","CYM50199",NA,NA,-0.26140209
"655","BRD-K62768020",NA,NA,-0.26124074
"656","dactinomycin",NA,NA,-0.26100928
"657","Troglitazone",NA,NA,-0.26054024
"658","GSK1292263",NA,NA,-0.26048797
"659","BRD-K45845536",NA,NA,-0.26021069
"660","Flurandrenolide",NA,NA,-0.25989713
"661","CHEMBL1271220",NA,NA,-0.25960373
"662","PF-03758309",NA,NA,-0.25958738
"663","PD-173074",NA,NA,-0.25958353
"664","CARGLUMIC ACID",NA,NA,-0.25922217
"665","BRD-K17530818",NA,NA,-0.25915164
"666","Propantheline",NA,NA,-0.25900077
"667","Racecadotril",NA,NA,-0.25899901
"668","BRD-K30645599",NA,NA,-0.25891315
"669","PCI-34051",NA,NA,-0.25881785
"670","Immepip",NA,NA,-0.2586062
"671","paroxetine",NA,NA,-0.25846153
"672","SCHEMBL926625",NA,NA,-0.25770758
"673","Lintitript",NA,NA,-0.25762739
"674","Equilin",NA,NA,-0.25757544
"675","MLS002264494",NA,NA,-0.25746403
"676","Etodolac",NA,NA,-0.2574095
"677","CPI-613",NA,NA,-0.2573263
"678","SB225002",NA,NA,-0.25703278
"679","AMG 232",NA,NA,-0.25692179
"680","4-(4-Phenylphenoxy)benzene-1,2-dicarbonitrile",NA,NA,-0.25687937
"681","THZ-2-98-01",NA,NA,-0.25670374
"682","THZ-2-98-01",NA,NA,-0.25670374
"683","THZ-2-98-01",NA,NA,-0.25670374
"684","BRD-K76876037",NA,NA,-0.25663413
"685","BRD-K41390249",NA,NA,-0.25657816
"686","BRD-K21787371",NA,NA,-0.25640475
"687","BMS-387032",NA,NA,-0.25639202
"688","N-[2-(2-Chlorophenyl)-1,3-benzoxazol-5-yl]-2-(4-nitrophenoxy)acetamide",NA,NA,-0.25611015
"689","BRD-K26899819",NA,NA,-0.25609557
"690","SCHEMBL15422533",NA,NA,-0.25595485
"691","Nullscript",NA,NA,-0.25590313
"692","BRD-K74656908",NA,NA,-0.25588568
"693","LRRK2-IN-1",NA,NA,-0.25582572
"694","SEW00445",NA,NA,-0.25579373
"695","Ubenimex",NA,NA,-0.25568102
"696","Loxapine",NA,NA,-0.25540139
"697","BRD-K69603398",NA,NA,-0.25520328
"698","Empagliflozin (BI 10773)",NA,NA,-0.25509368
"699","Entacapone",NA,NA,-0.25507281
"700","Diclofenac",NA,NA,-0.25502277
"701","TR-14035",NA,NA,-0.25419085
"702","Dimethisoquin",NA,NA,-0.25404886
"703","Camostat Mesilate",NA,NA,-0.25401187
"704","MLS001060837",NA,NA,-0.25394717
"705","BRD-A77864279",NA,NA,-0.25388052
"706","Binospirone",NA,NA,-0.25368716
"707","Amidate",NA,NA,-0.25367073
"708","Trifluoperazine",NA,NA,-0.25363891
"709","Progesterone",NA,NA,-0.25363217
"710","Enalapril",NA,NA,-0.25353831
"711","CHEMBL1521956",NA,NA,-0.25335691
"712","SCHEMBL17378613",NA,NA,-0.25323134
"713","SMR000132203",NA,NA,-0.25272894
"714","Methyl-6,7-dimethoxy-4-ethyl-beta-carboline-3-carboxylate",NA,NA,-0.25270618
"715","Paroxetine",NA,NA,-0.25248718
"716","BRD-K59805090",NA,NA,-0.25229668
"717","Efavirenz",NA,NA,-0.25225101
"718","SPECTRUM_001418",NA,NA,-0.25223887
"719","Ricinine",NA,NA,-0.2521227
"720","Etravirine (TMC125)",NA,NA,-0.25209586
"721","ALDA 1",NA,NA,-0.25192284
"722","Bromopyruvate",NA,NA,-0.25182552
"723","Dids",NA,NA,-0.25153136
"724","Flavanone",NA,NA,-0.25144619
"725","Buthionine Sulfoxime",NA,NA,-0.25138063
"726","Saracatinib",NA,NA,-0.25088143
"727","GSK-2334470",NA,NA,-0.25080043
"728","BMS-509744",NA,NA,-0.25053064
"729","NNC 63-0532",NA,NA,-0.25051551
"730","BRD-K89194506",NA,NA,-0.25049889
"731","ZINC13298321",NA,NA,-0.2503535
"732","BRD-K77790153",NA,NA,-0.25019977
"733","Seliciclib",NA,NA,-0.24989301
"734","SA-1939936",NA,NA,-0.24988125
"735","SAN1_014122",NA,NA,-0.24946011
"736","Gossypol",NA,NA,-0.24938151
"737","MLS002699918",NA,NA,-0.24929196
"738","6-Nitro dopamine",NA,NA,-0.24925709
"739","MLS003179190",NA,NA,-0.24910213
"740","SA-1457992",NA,NA,-0.24901928
"741","SCHEMBL12636892",NA,NA,-0.24865312
"742","AC1O1EQ5",NA,NA,-0.24861932
"743","Reichsteins Substance S",NA,NA,-0.24846124
"744","BRD-K40123546",NA,NA,-0.24845827
"745","CHEMBL1612677",NA,NA,-0.24823094
"746","KUC111109N",NA,NA,-0.24814398
"747","BRD-K85967137",NA,NA,-0.24800248
"748","Aminoglutethimide",NA,NA,-0.24778393
"749","CHEMBL1700681",NA,NA,-0.2475886
"750","Hesperidin",NA,NA,-0.24750268
"751","Hesperidin",NA,NA,-0.24750268
"752","TUL_XXI035",NA,NA,-0.24749443
"753","3-Aminobenzamide",NA,NA,-0.24746076
"754","Nefopam",NA,NA,-0.2474005
"755","BRD-K53592093-001-01-3",NA,NA,-0.24739461
"756","ZINC01037382",NA,NA,-0.24738895
"757","Iobenguane",NA,NA,-0.24732299
"758","Benzylamine",NA,NA,-0.24724725
"759","Bonuten",NA,NA,-0.24693438
"760","BRD-K75322905",NA,NA,-0.2469008
"761","TUL_XIX002",NA,NA,-0.24676852
"762","LACOSAMIDE",NA,NA,-0.24674993
"763","Medetomidine",NA,NA,-0.24659464
"764","32703-82-5",NA,NA,-0.24657708
"765","Splitomicin",NA,NA,-0.24626483
"766","Erythromycin Ethylsuccinate",NA,NA,-0.24624789
"767","Mometasone Furoate",NA,NA,-0.24623383
"768","Evodiamine",NA,NA,-0.24619522
"769","Metoprolol",NA,NA,-0.24615298
"770","BRD-K01604352",NA,NA,-0.24588018
"771","Val-Val-Val",NA,NA,-0.2458543
"772","CHEMBL2358575",NA,NA,-0.24580831
"773","Hydroxyprogesterone Caproate",NA,NA,-0.24572606
"774","2-(4,5-Dihydro-1H-imidazol-2-yl)quinoxaline",NA,NA,-0.24572091
"775","Damnacanthal",NA,NA,-0.24570207
"776","Furosemide",NA,NA,-0.24558453
"777","ITSA-1",NA,NA,-0.24533052
"778","Levobunolol",NA,NA,-0.24530933
"779","SA-427228",NA,NA,-0.24528138
"780","Nitrendipine",NA,NA,-0.24527142
"781","ZINC03977775",NA,NA,-0.24512303
"782","Valacyclovir",NA,NA,-0.24495116
"783","MLS003079542",NA,NA,-0.24492168
"784","HMN-214",NA,NA,-0.24490295
"785","APIXABAN",NA,NA,-0.24484784
"786","SA-1938219",NA,NA,-0.24482415
"787","Taurocholate",NA,NA,-0.24470764
"788","NCGC00238427-01",NA,NA,-0.24468329
"789","Phenylbutazone",NA,NA,-0.24462244
"790","3,5-Dimethoxy-n-(1H-1,2,4-triazol-3-yl)benzamide",NA,NA,-0.2445303
"791","BRD-K34836852",NA,NA,-0.24442951
"792","C21H27N7O3",NA,NA,-0.24409514
"793","AO-081/15245014",NA,NA,-0.24376196
"794","CLONAZEPAM",NA,NA,-0.24373874
"795","Nocodazole",NA,NA,-0.24369419
"796","Rotenonic acid",NA,NA,-0.24366069
"797","BRD-K75845944",NA,NA,-0.24360276
"798","Zebularine",NA,NA,-0.24331411
"799","ZD-7288",NA,NA,-0.24327217
"800","Iguratimod",NA,NA,-0.24299879
"801","MLS003079541",NA,NA,-0.24288029
"802","PK-11195",NA,NA,-0.24281627
"803","4-Chloro-2-(imidazolin-2-yl)isoindoline",NA,NA,-0.24278977
"804","Lexibulin",NA,NA,-0.24274916
"805","BRD-K83920942",NA,NA,-0.24271652
"806","SR-03000001971",NA,NA,-0.24268386
"807","MLS003126522",NA,NA,-0.24262386
"808","Amthamine",NA,NA,-0.24257059
"809","Loperamide",NA,NA,-0.24248418
"810","N9-Isopropylolomoucine",NA,NA,-0.2424181
"811","Pindolol",NA,NA,-0.24234295
"812","Lomerizine",NA,NA,-0.242335
"813","Fedratinib",NA,NA,-0.24207586
"814","MLS002729052",NA,NA,-0.24202504
"815","Remoxipride",NA,NA,-0.2419932
"816","CHEMBL1882023",NA,NA,-0.24185247
"817","Probucol",NA,NA,-0.2417849
"818","MLS003530000",NA,NA,-0.24165899
"819","BRD-K31562577",NA,NA,-0.2416399
"820","4-Methylhistamine",NA,NA,-0.24156789
"821","CHEMBL2361244",NA,NA,-0.24150575
"822","SA-85377",NA,NA,-0.24139113
"823","1-(4-Methoxyphenyl)-n,n-dipropyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",NA,NA,-0.24129105
"824","TRAP-101",NA,NA,-0.24126771
"825","Infigratinib",NA,NA,-0.24116687
"826","Dabrafenib",NA,NA,-0.2411344
"827","Veratridine",NA,NA,-0.2411025
"828","AZD-6482",NA,NA,-0.24103934
"829","Pentamidine",NA,NA,-0.24094415
"830","Trehalose",NA,NA,-0.2407586
"831","Lithocholic acid",NA,NA,-0.24060957
"832","AC1MF5PT",NA,NA,-0.24032239
"833","BRD-K04617562",NA,NA,-0.24027462
"834","Momelotinib",NA,NA,-0.24022577
"835","Teniposide",NA,NA,-0.24010174
"836","ML216",NA,NA,-0.24004288
"837","1-(Phenylsulfonyl)-1H-benzimidazol-2-amine",NA,NA,-0.2400237
"838","AC1NAR46",NA,NA,-0.239897
"839","BRD-K49452151",NA,NA,-0.23983906
"840","Hydrastinine",NA,NA,-0.23956995
"841","BRD-K93330237",NA,NA,-0.23930209
"842","C28H30CIN5O4S",NA,NA,-0.23929056
"843","BRD-K65085267",NA,NA,-0.23926078
"844","Mitotane",NA,NA,-0.23906931
"845","Mitoxantrone",NA,NA,-0.23906201
"846","Acivicin",NA,NA,-0.23902567
"847","BRD-K15428056",NA,NA,-0.23894644
"848","SR-2640",NA,NA,-0.23889264
"849","Gossypetin",NA,NA,-0.23881939
"850","AMG 837 (calcium hydrate)",NA,NA,-0.23879035
"851","ST005177",NA,NA,-0.23875538
"852","SA-1457169",NA,NA,-0.23872673
"853","CYTO7H11",NA,NA,-0.23867281
"854","L-694247",NA,NA,-0.23859874
"855","Sarcolysin",NA,NA,-0.2383691
"856","CP466722",NA,NA,-0.23790462
"857","AC1NSM0X",NA,NA,-0.23783043
"858","BRD-K87536251",NA,NA,-0.2377351
"859","AS601245",NA,NA,-0.23753693
"860","LDN 193189",NA,NA,-0.23752117
"861","Eplerenone",NA,NA,-0.23741414
"862","Dithiolethione",NA,NA,-0.23738756
"863","AZD3514",NA,NA,-0.23736184
"864","CHEMBL2357067",NA,NA,-0.23726132
"865","Nemonapride",NA,NA,-0.23716643
"866","Nemonapride",NA,NA,-0.23716643
"867","MLS002729074",NA,NA,-0.23711243
"868","1268524-70-4",NA,NA,-0.23710171
"869","MK-0752",NA,NA,-0.23701206
"870","AC1Q6JJ5",NA,NA,-0.23690621
"871","ST50290128",NA,NA,-0.23687423
"872","AZD-1775",NA,NA,-0.236777
"873","Tonabersat",NA,NA,-0.2367729
"874","TIBOLONE",NA,NA,-0.23677267
"875","Dasb",NA,NA,-0.23645599
"876","Fosfomycin Tromethamine",NA,NA,-0.2364026
"877","Closantel",NA,NA,-0.23629694
"878","BRD-K90446118",NA,NA,-0.23609053
"879","BRD-K46295497",NA,NA,-0.23589504
"880","331771-20-1",NA,NA,-0.23574681
"881","CHEMBL2358392",NA,NA,-0.23572375
"882","QX314",NA,NA,-0.23569694
"883","SMR000204704",NA,NA,-0.23568818
"884","SA-1938756",NA,NA,-0.23568185
"885","(S)-(-)-BAY K 8644",NA,NA,-0.23557757
"886","252916-29-3",NA,NA,-0.23556455
"887","BRD-K29720768",NA,NA,-0.23551175
"888","BRD-K25228014",NA,NA,-0.23547082
"889","Epirizole",NA,NA,-0.23543125
"890","CGP 60474",NA,NA,-0.23539418
"891","Ethionamide",NA,NA,-0.23533508
"892","BRD-K04856990",NA,NA,-0.23530688
"893","C.I. MORDANT BLACK 11",NA,NA,-0.23528931
"894","RS102895",NA,NA,-0.23503581
"895","BRD-K88373420",NA,NA,-0.23492426
"896","Parthenolide",NA,NA,-0.23492097
"897","Parthenolide",NA,NA,-0.23492097
"898","Tetrahydrozoline",NA,NA,-0.23483512
"899","Estriol",NA,NA,-0.234716
"900","STO609",NA,NA,-0.23450856
"901","MLS-0367705.0001",NA,NA,-0.23441449
"902","ALD1-H_000553",NA,NA,-0.23440513
"903","4-Iodo-6-phenylpyrimidine",NA,NA,-0.23438048
"904","Felodipine",NA,NA,-0.23436517
"905","BRD-K20200700",NA,NA,-0.23421206
"906","CHEMBL1290246",NA,NA,-0.23417797
"907","Indigo Red",NA,NA,-0.23414519
"908","NCGC00170547-01",NA,NA,-0.23412774
"909","N,N-Diethyl-2-(5-oxo-2,3-dihydro[1,3]thiazolo[3',2':1,2]pyrimido[5,4-b]indol-6(5H)-yl)acetamide",NA,NA,-0.23411187
"910","Clonidine",NA,NA,-0.23392202
"911","BRD-K30194621",NA,NA,-0.23391404
"912","AC1NWALF",NA,NA,-0.23390698
"913","CGK733",NA,NA,-0.23389641
"914","BRD-K43568193",NA,NA,-0.23386013
"915","Thiabendazole",NA,NA,-0.23381026
"916","SA-1462678",NA,NA,-0.23366347
"917","13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",NA,NA,-0.23342357
"918","Carbamazepine",NA,NA,-0.2332281
"919","282089-49-0",NA,NA,-0.23319591
"920","CHEMBL1413238",NA,NA,-0.23316891
"921","Risperidone",NA,NA,-0.23310155
"922","CHEMBL1965031",NA,NA,-0.23305944
"923","151057-13-5",NA,NA,-0.23275806
"924","CO-1686 (AVL-301)",NA,NA,-0.23218899
"925","SPBIO_000926",NA,NA,-0.23212851
"926","3-Aminomethylbutanoic acid",NA,NA,-0.23212835
"927","PIK-93",NA,NA,-0.23210151
"928","SA-1457810",NA,NA,-0.23209177
"929","Dichlorphenamide",NA,NA,-0.23202368
"930","MLS002232309",NA,NA,-0.23197387
"931","Dexamethasone Acetate",NA,NA,-0.23194853
"932","ABT-751",NA,NA,-0.23191622
"933","MLS002554298",NA,NA,-0.23179338
"934","WZ3105",NA,NA,-0.2316563
"935","84215-10-1",NA,NA,-0.23165118
"936","CHEMBL461622",NA,NA,-0.23164608
"937","Eicosadienoic acid",NA,NA,-0.23161404
"938","AC1NXRFO",NA,NA,-0.23160225
"939","Auraptene",NA,NA,-0.23158031
"940","RO-154513",NA,NA,-0.23132477
"941","Piperine",NA,NA,-0.23131127
"942","Apigenin",NA,NA,-0.23122425
"943","RS-67333",NA,NA,-0.23120684
"944","ZINC77024257",NA,NA,-0.23120537
"945","BRD-K71746288",NA,NA,-0.23116457
"946","Nimesulide",NA,NA,-0.23107287
"947","SA-1939007",NA,NA,-0.23106603
"948","BRD-K37226311",NA,NA,-0.23103535
"949","MLS002264384",NA,NA,-0.23081187
"950","SPECTRUM_001028",NA,NA,-0.23074224
"951","Dihydrocapsaicin",NA,NA,-0.23074115
"952","Fluspirilene",NA,NA,-0.23068688
"953","rilmenidine",NA,NA,-0.23068229
"954","BG-1004",NA,NA,-0.23065704
"955","Moclobemide",NA,NA,-0.23065516
"956","CCG-208038",NA,NA,-0.23062419
"957","RS504393",NA,NA,-0.23059799
"958","Brefeldin A",NA,NA,-0.23049172
"959","Brefeldin A",NA,NA,-0.23049172
"960","BRD-A24396574-001-01-5",NA,NA,-0.23048026
"961","CHEMBL1950303",NA,NA,-0.23027327
"962","Fentiazac",NA,NA,-0.23007372
"963","Carbaril",NA,NA,-0.23001246
"964","Dcpib",NA,NA,-0.2299506
"965","12K-612S",NA,NA,-0.22989506
"966","Mesalamine",NA,NA,-0.22988388
"967","Donitriptan hydrochloride",NA,NA,-0.22983778
"968","Chlorthalidone",NA,NA,-0.2298064
"969","Indole-3-carbinol",NA,NA,-0.22969677
"970","BRD-K60477859",NA,NA,-0.22956535
"971","3-Methylcholanthrene",NA,NA,-0.22953442
"972","BRD-K05745188",NA,NA,-0.2294935
"973","SA-1473648",NA,NA,-0.22938891
"974","UCL 2077",NA,NA,-0.22936857
"975","STK721917",NA,NA,-0.22933699
"976","SR-02000000448",NA,NA,-0.22924898
"977","MLS-0226099.0001",NA,NA,-0.22905695
"978","Androstenedione",NA,NA,-0.22900472
"979","BAS 02002358",NA,NA,-0.22897055
"980","Propoxycaine",NA,NA,-0.22884604
"981","PFI-1",NA,NA,-0.22879929
"982","Ciprofloxacin",NA,NA,-0.22879424
"983","Hydroxycamptothecin",NA,NA,-0.2287924
"984","LY288513",NA,NA,-0.22877303
"985","BRD-K29451642",NA,NA,-0.22866251
"986","ST4029010",NA,NA,-0.2284895
"987","CHEMBL1270411",NA,NA,-0.22843302
"988","MLS004683642",NA,NA,-0.22825464
"989","(13S)-3-Hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",NA,NA,-0.22824744
"990","BRD-K34387287",NA,NA,-0.22820052
"991","Dopamine",NA,NA,-0.22817576
"992","BRD-K49988555",NA,NA,-0.22817328
"993","BRD-A15493168-001-02-1",NA,NA,-0.22801073
"994","BRD-K20862010",NA,NA,-0.22795025
"995","Buspirone",NA,NA,-0.22792365
"996","Aspirin",NA,NA,-0.22788576
"997","CHEMBL1407957",NA,NA,-0.22788525
"998","U 46619",NA,NA,-0.22771432
"999","AC1NWAML",NA,NA,-0.22763852
"1000","BX-795",NA,NA,-0.2276019
"1001","Dipyridamole",NA,NA,-0.22755401
"1002","CHEMBL2333346",NA,NA,-0.22751114
"1003","Nicardipine",NA,NA,-0.22747895
"1004","MLS003153121",NA,NA,-0.22744423
"1005","Anacardic acid",NA,NA,-0.22731539
"1006","T6129388",NA,NA,-0.22719976
"1007","Phenprobamate",NA,NA,-0.22719404
"1008","CHEMBL2132717",NA,NA,-0.2271636
"1009","NCGC00166323-01",NA,NA,-0.22707798
"1010","BRD-K39504007",NA,NA,-0.22706014
"1011","81-78-7",NA,NA,-0.22703496
"1012","Brucinum",NA,NA,-0.22699287
"1013","Ponatinib",NA,NA,-0.22699202
"1014","Scriptaid",NA,NA,-0.22695071
"1015","BRD-K91461129",NA,NA,-0.22694819
"1016","SCHEMBL570779",NA,NA,-0.2269108
"1017","Moexipril",NA,NA,-0.22679033
"1018","MLS005000107",NA,NA,-0.22678373
"1019","MLS003129491",NA,NA,-0.22676125
"1020","BRL-37344",NA,NA,-0.22674089
"1021","SC-560",NA,NA,-0.22673921
"1022","1-Methyl isoquinoline",NA,NA,-0.22672263
"1023","Tetramisole",NA,NA,-0.2264713
"1024","CHEMBL1884008",NA,NA,-0.22634453
"1025","Amitriptyline",NA,NA,-0.22624799
"1026","Levocetirizine",NA,NA,-0.22617519
"1027","Cimetidine",NA,NA,-0.22614163
"1028","Pimozide",NA,NA,-0.22612665
"1029","CHEMBL567340",NA,NA,-0.22607458
"1030","AC1LGCD9",NA,NA,-0.22601815
"1031","SCHEMBL15422158",NA,NA,-0.22601446
"1032","Betahistine",NA,NA,-0.22597629
"1033","BMY-7378",NA,NA,-0.22590101
"1034","AC1Q5RFA",NA,NA,-0.22588274
"1035","Timolol",NA,NA,-0.22579663
"1036","SCHEMBL16226502",NA,NA,-0.22570212
"1037","Benazepril",NA,NA,-0.22568321
"1038","NVP-AUY922",NA,NA,-0.22567886
"1039","CAY10577",NA,NA,-0.22562133
"1040","Trametinib",NA,NA,-0.22560279
"1041","Febuxostat",NA,NA,-0.22553137
"1042","BRD-K96403486",NA,NA,-0.22546598
"1043","Cevimeline hydrochloride",NA,NA,-0.22540923
"1044","BRD-K72772617",NA,NA,-0.22527301
"1045","Licochalcone A",NA,NA,-0.22511203
"1046","Ivachtin",NA,NA,-0.22510862
"1047","BRD-K42696220",NA,NA,-0.22507485
"1048","BRD-K69661816",NA,NA,-0.22498503
"1049","NCGC00346967-01",NA,NA,-0.22495638
"1050","C24H30O6",NA,NA,-0.22492587
"1051","CEP-32496",NA,NA,-0.22475132
"1052","SPECTRUM_000886",NA,NA,-0.22470902
"1053","MLS002264437",NA,NA,-0.2247062
"1054","CHEMBL3186245",NA,NA,-0.22469732
"1055","IN1345",NA,NA,-0.22463322
"1056","BRD-A01645196",NA,NA,-0.22463265
"1057","Desloratadine",NA,NA,-0.22434225
"1058","BRD-K62732905",NA,NA,-0.22426345
"1059","MLS003587254",NA,NA,-0.22418836
"1060","JNK-IN-2",NA,NA,-0.22417384
"1061","CHEMBL2362396",NA,NA,-0.22412755
"1062","852475-26-4",NA,NA,-0.22408688
"1063","Ranitidine",NA,NA,-0.22399248
"1064","BRD-K00486725",NA,NA,-0.22399121
