Name_GeneSymbol,Value_LogDiffExp,Significane_pvalue
RIOX2,0.126401333,0.241902291
CES2,0.126378524,0.012645347
TECPR1,0.126374524,0.013145087
C19orf53,0.126321821,0.057795102
L3MBTL1,0.126317762,0.003539655
HMGN2,0.126289583,0.115795104
SLC49A4,0.126272619,0.296747156
KCNQ1,0.126271345,0.121464978
LAMTOR1,0.126238155,0.047522751
MRTFA,0.126235607,0.019451012
HNRNPUL2-BSCL2,0.126218821,0.059229766
LZIC,0.12611331,0.100831297
LETMD1,0.126093655,0.176377414
AKAP11,0.126001333,0.387702406
LITAF,0.12596,0.062729491
TBCC,0.12587881,0.026484093
PDCD11,0.125876405,0.104993907
GP1BA,0.125807643,0.539293669
SETDB2,0.125717512,0.298620298
DFFB,0.12570806,0.024876388
HNRNPA1L2,0.125699369,0.362972926
LINC01588,0.125692845,0.112397604
TRIM24,0.125690369,0.032551528
TAGLN2,0.125625,0.162986894
FAM210A,0.12553381,0.296493839
TRIM61,0.125532429,0.091939621
LILRB3,0.12548619,0.184717945
DPP3,0.125465571,0.110044126
ZNF235,0.125447131,0.214256266
UPP1,0.125427607,0.189427949
GOLGA3,0.125416107,0.016355562
JMJD4,0.12540575,0.007924471
GPBAR1,0.125404619,0.128292764
DGAT1,0.125373369,0.094947083
PAFAH1B2,0.125325583,0.036045595
CPED1,0.125299976,0.41960493
HERC3,0.125268571,0.091851827
DUSP1,0.125267976,0.362316746
ETS1,0.125256655,0.443876643
UBE2W,0.125253619,0.210002415
MOSMO,0.125247179,0.225144604
ABCA2,0.125142929,0.125257639
KANSL2,0.125115393,0.122137336
LACC1,0.125093595,0.247836928
DSN1,0.125069345,0.184415054
MCCC1,0.125045476,0.193609772
BTBD2,0.125005798,0.05693618
OGG1,0.1249945,0.036659798
SFXN2,0.124963333,0.170989305
TMEM248,0.124958929,0.012221702
DCLRE1C,0.124952452,0.11278519
RALGAPA2,0.124948845,0.363464085
GSKIP,0.12486794,0.238231872
RBMXL1,0.124857583,0.208794956
SNAP29,0.124855143,0.084512712
TTC9C,0.124851643,0.034345048
NPTN,0.124837619,0.059448526
RNF216,0.12478956,0.020323534
FAM193A,0.124782464,0.014712285
MRPL17,0.12474781,0.143046739
PRMT9,0.124743155,0.235512047
SLC20A2,0.124733143,0.042388808
ZFP57,0.124702143,0.369999296
PPIL3,0.124693536,0.486169466
DHFR,0.124605524,0.067560961
RFC3,0.124558869,0.219057142
MIEF1,0.12450931,0.117560304
FRMD8,0.124494631,0.067850611
MROH1,0.12441056,0.013837807
MIS12,0.12435325,0.387311979
GTF2B,0.124258095,0.280127875
XPO6,0.124252143,0.174541861
ZNF557,0.12422569,0.182798125
NCOA7,0.124224226,0.238384581
NOC2L,0.124216345,0.095521902
TIFAB,0.12417581,0.013090121
DIP2B,0.124153988,0.215882108
PEDS1-UBE2V1,0.124152964,0.180009101
LINC02210,0.124140726,0.161008285
MAX,0.124010833,0.005710496
RPL23AP7,0.1239675,0.165100935
SHC1,0.123942524,0.011306725
EP300,0.123888405,0.099061385
RFC5,0.123883202,0.025874459
OSBPL5,0.123872238,0.243481527
CD86,0.123860274,0.510052172
STARD10,0.123850726,0.309875243
PTPN6,0.123806548,0.097742066
CXCL10,0.123745905,0.780983103
ATXN2,0.123739655,0.011906704
HNRNPCL3,0.123719762,0.030873113
TPI1,0.12367656,0.05242906
TCEA2,0.123665798,0.006679863
MYL12A,0.123641452,0.030874061
HIVEP3,0.123603,0.287984527
TRUB2,0.123549143,0.046540243
LRIG2,0.123493357,0.093795156
TMEM161B,0.123464905,0.29160441
IDNK,0.123455167,0.125401911
LAMP1,0.123415976,0.13695026
SIK3,0.12341206,0.058929067
NDUFA9,0.123331595,0.297682222
SPI1,0.123205357,0.157956214
TNFSF12-TNFSF13,0.123203667,0.058125827
ATXN7L3B,0.123176345,0.056631897
S100Z,0.1231395,0.27992239
DHX34,0.123105179,0.324704093
SLC37A4,0.123098298,0.006341499
RPL17,0.123066298,0.51135984
C2CD5,0.122943464,0.157741084
AMDHD2,0.122942976,0.041486001
HECTD3,0.122879786,0.101459986
SNORD55,0.122855976,0.18047126
DTWD1,0.122851036,0.458983224
ZCWPW1,0.122815583,0.051263939
AASDH,0.122739012,0.252397365
BASP1,0.122732738,0.34800774
POLD3,0.122730536,0.222911415
MTMR12,0.122654976,0.124300064
AK9,0.122618143,0.070077
LMBRD2,0.122613643,0.221754485
PHLDB2,0.122499167,0.162271465
NSUN2,0.122416607,0.238795005
ANAPC7,0.122415631,0.062935706
TMEM138,0.122399524,0.130102226
FCGRT,0.122369262,0.180336043
DPP8,0.122274286,0.038550059
GRPEL1,0.122227,0.022721331
DCTN6,0.122161679,0.423228985
TNFRSF1A,0.122140119,0.078631739
PCGF3,0.1220915,0.218747185
BIRC6,0.122051988,0.060195816
PROSER3,0.122050321,0.007853826
VHL,0.122045381,0.010612251
TFB1M,0.122041524,0.247336284
FLVCR1,0.122015071,0.231538327
LOC554206,0.122000321,0.027521378
GIGYF2,0.121946964,0.036264465
INIP,0.12188381,0.127602437
TSEN2,0.1218615,0.113967528
PDE6H,0.121762095,0.076728645
NDUFAB1,0.121730738,0.326900093
YJU2,0.121663357,0.018128054
UTP23,0.121610274,0.138919239
FER,0.121604357,0.324065486
PRDX1,0.121539667,0.40607227
EIF3M,0.121497595,0.460279054
USP46,0.121456845,0.343634653
RFC2,0.121443655,0.069895727
IPO8,0.121401202,0.154644338
POLR3B,0.121380964,0.045868385
SND1,0.121368643,0.169944707
RAP2B,0.121345905,0.048207331
ITPR1,0.12130944,0.169088866
SHISAL2A,0.121258417,0.256468745
RAB40C,0.1212385,0.043101756
CHPF2,0.121086119,0.050583323
USP39,0.121079988,0.009807488
RAD51L3-RFFL,0.121074071,0.132266704
KLHL5,0.121033667,0.38459366
EML2,0.121031321,0.037436775
LCP2,0.121015833,0.012705856
FBXO31,0.121002012,0.044872475
NRAS,0.120989702,0.201308013
SLC35D2,0.120876643,0.238728233
SMARCA2,0.120788262,0.06593473
ZC3H3,0.120769155,0.031740058
ZNF876P,0.120764155,0.295115645
FAM162A,0.120751333,0.163202712
METTL13,0.12074406,0.147806079
GATAD2A,0.12072781,0.125454856
FIG4,0.120677036,0.106948125
SIRPA,0.120571917,0.139425066
ARHGAP24,0.12056056,0.367002067
PEX1,0.120471762,0.14032541
DENND1A,0.120466952,0.067427812
SLAMF7,0.120458762,0.600599931
GOLGA8M,0.120398976,0.093935322
PAK2,0.120365262,0.204207438
LACTB2,0.120321964,0.349085937
ZNF329,0.120307655,0.149977637
SARNP,0.120219357,0.113230936
CAPN2,0.12020256,0.36955356
SNX2,0.120105,0.343616047
FAM76A,0.120081095,0.172564095
GFM1,0.120037357,0.283099033
PKHD1L1,0.120026417,0.266938545
LOC401320,0.11999569,0.087274041
GPR63,0.1199605,0.134917379
RHD,0.119951643,0.673211999
DNAJC19,0.119936357,0.211886105
GORAB,0.119923607,0.338564253
ESF1,0.119917202,0.367331379
SLC27A3,0.119915143,0.197727797
PSENEN,0.119903571,0.08634672
CLSTN3,0.119801964,0.259602225
KIAA0753,0.119770571,0.194474746
JPT2,0.119757357,0.015876297
CBX6,0.119740298,0.054228233
ZNF484,0.119729905,0.411615332
BAGE2,0.119701607,0.042926496
DNAAF10,0.11967331,0.131757407
PRR11,0.119662798,0.260138705
CNOT1,0.119658929,0.07208957
ACSF3,0.119611226,0.047191479
LAPTM5,0.119606548,0.007692583
CCDC93,0.119572845,0.038518864
TAF3,0.119521917,0.06603018
PPTC7,0.11950131,0.154966726
UBE2D4,0.119439274,0.105919278
SMARCC2,0.119374512,0.050140151
GPR84,0.119368655,0.400200203
DARS2,0.119340238,0.143902971
ZMIZ1,0.119323952,0.188759635
RBM33,0.119266095,0.012954313
MIR197,0.119254929,0.138391769
CUL7,0.119238143,0.009246764
TMX2,0.119228988,0.204880174
CCDC117,0.119171905,0.12741278
GTF2IRD2B,0.119032583,0.10711991
IFT172,0.119019036,0.018930934
CPQ,0.118945774,0.285464345
GPR174,0.118835631,0.609129129
RPAP1,0.118813452,0.015647628
MIDEAS,0.11880019,0.067935394
POT1,0.118769167,0.415187042
ATXN10,0.118767464,0.421562391
MIGA2,0.118730083,0.002115983
BMT2,0.118686,0.08002212
RPL27,0.118649155,0.387355802
C8orf33,0.118642821,0.092018262
RORA,0.118642393,0.508434687
IL32,0.118566631,0.435985629
CAPZB,0.118453333,0.05413913
PEBP1,0.118453095,0.301377106
NECAP2,0.11842631,0.050096947
PPP1R13B,0.118342714,0.087367053
SGTA,0.118275238,0.004643944
PRPF18,0.118269833,0.150998914
BST2,0.118253845,0.550341598
DPP7,0.118249988,0.112052264
USP27X,0.118231452,0.052524157
FAM120A,0.118215417,0.048923692
TMEM218,0.118155667,0.082704765
XPNPEP3,0.11815431,0.011580775
SMG8,0.118123952,0.072238396
MIS18A,0.118107583,0.132547441
CHMP1A,0.118097619,0.055748556
GPATCH8,0.118083905,0.074408729
IKBKB,0.118066369,0.054045714
ACBD6,0.118045738,0.111953436
FAM13A,0.118039286,0.271422603
MAP4,0.118031262,0.146496804
NLRC4,0.117810274,0.411755026
DDX10,0.117774369,0.387190899
MCRS1,0.117745,0.028015581
TBCD,0.117739964,0.036113243
INPP5A,0.117701345,0.2318718
ELOA,0.117695714,0.160048933
CSTB,0.117692857,0.034984969
FAM234B,0.117667643,0.017587732
RNF103-CHMP3,0.117652881,0.128474117
SH3KBP1,0.11763869,0.107310615
LINC00299,0.117608714,0.412796364
BTBD9,0.117582881,0.0432169
PVRIG,0.117577095,0.243601707
LINC02913,0.117571679,0.180492899
PSMD9,0.117557036,0.089610159
N4BP2L1,0.117551131,0.275551127
GATB,0.11753856,0.046586149
RPAP2,0.117534857,0.418173033
PDE8A,0.11751325,0.266446404
MIR31HG,0.117432929,0.094299917
BASP1-AS1,0.117358024,0.451595297
LOC1720,0.117306857,0.235773401
PKN1,0.117284036,0.017749862
HSP90AA2P,0.117281952,0.461434555
ZNF221,0.117274524,0.064689462
FUOM,0.117273798,0.008414778
TMTC4,0.117271929,0.329223276
CACNB3,0.117243393,0.027316802
RIPK2,0.117237155,0.194602447
C1orf162,0.117198452,0.118690009
ANKRD20A8P,0.117169214,0.256308824
GRK2,0.117167571,0.023962621
ZBTB5,0.117129298,0.062120894
MED12L,0.117122488,0.110873219
DHX38,0.117059417,0.049982165
G2E3,0.117057524,0.286487064
HCCS,0.117047976,0.124704821
HSCB,0.117018702,0.027912708
ZNF248,0.117002833,0.366345785
NFATC2,0.116983,0.51721365
FRA10AC1,0.116959619,0.279636303
TNKS,0.116944107,0.056519086
ZNF10,0.116930952,0.114654518
LDAH,0.116877798,0.372636779
ZBTB2,0.116863452,0.004540578
EXTL3,0.116848226,0.419711554
MRPS31P5,0.116846488,0.053218682
FAM161A,0.116828667,0.010263071
NSL1,0.116737833,0.053217501
ZNF786,0.116632929,0.112951405
MMUT,0.11660369,0.190152736
CASTOR1,0.116554917,0.022693821
RASA4B,0.116537548,0.025955084
GPR45,0.116536393,0.148970525
GLIPR2,0.116517143,0.078666068
C5orf22,0.116516571,0.179206452
PIK3R4,0.116483321,0.082163896
GSAP,0.116476774,0.346664081
METTL15,0.116476512,0.247736051
OR4D9,0.116471929,0.120031174
BAGE4,0.116400131,0.044005907
OR2T3,0.11631025,0.036909389
VASP,0.116301488,0.18838004
MPDU1,0.116277524,0.352228181
SMARCC1,0.116248786,0.050353981
KIF21B,0.116240857,0.155362143
PIGB,0.116229976,0.390770382
KIFBP,0.116201607,0.236900953
LRRC42,0.116195524,0.042046846
LINC00221,0.116127464,0.03847796
ACAD8,0.116074952,0.051270849
LLGL1,0.116024821,0.008440446
ARAP1,0.115947393,0.297506227
WWC2,0.115933857,0.12131132
RAB20,0.115889881,0.274736097
MTMR9,0.115847619,0.087434354
NR4A2,0.11582069,0.433604536
ZNF460,0.115796821,0.071144958
DNAAF11,0.115788036,0.704637867
POC5,0.11577369,0.100045596
WBP11,0.11572575,0.222806302
INTS14,0.115717321,0.360911546
LOC646938,0.115709952,0.218422773
RNASEL,0.115617857,0.195096633
SAMD4A,0.115611917,0.089829459
BOP1,0.115518381,0.032950332
PRPF3,0.115432226,0.067629438
MTFR1,0.115365119,0.363575128
NSFL1C,0.115305548,0.236731654
ARRDC2,0.115266929,0.087118193
ATG2A,0.11524625,0.323235703
FPR1,0.115237619,0.161624479
GM2A,0.115229964,0.444041727
NCAPD3,0.11519931,0.162246399
MLLT6,0.115185083,0.115269528
CD200R1,0.11518156,0.492996631
GAS2L3,0.115167631,0.306992271
SFXN1,0.11510706,0.375868625
CD1E,0.115052774,0.246888805
TP53TG1,0.115051929,0.106592072
WDR37,0.115045964,0.019290941
SMAD7,0.115037107,0.135185991
CHD1L,0.114926286,0.224820915
RPL22L1,0.114844738,0.370930707
SENP8,0.114807929,0.017307217
CWC25,0.114793524,0.119692883
DPM3,0.114720238,0.021414725
HERPUD1,0.114690595,0.052589077
BTBD7,0.11468369,0.03578998
NLRC3,0.114678583,0.198918654
PRAG1,0.114613167,0.084857235
GPR89A,0.114610595,0.400936283
RBM26,0.114602714,0.149360904
CREBL2,0.114600631,0.242434593
PRKCH,0.114597583,0.513506641
PELP1,0.114506667,0.030364011
IFIT3,0.114502107,0.685454852
MYADM,0.114495714,0.303616826
MIR26B,0.114490905,0.13722752
CRYGB,0.11449025,0.06997378
APOBEC3C,0.114429024,0.384201378
PTBP3,0.114382976,0.087390879
CBR1,0.114330655,0.250237132
ZNF548,0.114327762,0.263774279
BCORL1,0.114248679,0.117036944
LAS1L,0.114227107,0.107874491
SUMO3,0.114220786,0.141476948
SLC26A11,0.114218583,0.04026189
SUV39H1,0.114199762,0.066513873
CNTROB,0.114157369,0.021605406
IL23A,0.114106345,0.011232347
KIAA0319L,0.114011786,0.159272538
TGFA,0.113992476,0.455807823
MRPS18B,0.113984429,0.260995819
BAGE5,0.11394019,0.03272717
RNU11,0.113926548,0.291310286
RERE,0.113908631,0.080836239
GP6,0.113906452,0.354884608
BAGE3,0.113906226,0.035199541
IREB2,0.11390294,0.090715581
SMARCAD1,0.113873964,0.489349398
HECTD4,0.113865952,0.15824851
ZNF274,0.113821798,0.033482481
ANKRD50,0.113717131,0.284888282
ANKZF1,0.113672619,0.119257579
ZBTB14,0.113662333,0.318454888
ILKAP,0.113621381,0.107509853
ZBTB18,0.113603512,0.270573542
DOCK5,0.113582036,0.381377096
SPTSSA,0.11357906,0.14588261
SEC24C,0.113560095,0.0680051
LOC400927-CSNK1E,0.113552357,0.066888187
MAP3K6,0.113531548,0.01638506
THUMPD3,0.113517976,0.405412503
KIAA0586,0.113510119,0.210128514
FAM172A,0.113472869,0.244642541
TRIM56,0.113385321,0.102864817
GGT2P,0.113335012,0.068786154
ZNF687,0.113310929,0.109738126
HEATR5A,0.113299,0.349139772
CPSF7,0.113216429,0.264617361
FAHD2A,0.113201476,0.213118741
WDR82,0.113193762,0.125370606
AHNAK,0.113159226,0.412090679
HDHD5,0.11315056,0.088598229
TMSB10,0.113149048,0.367647515
PSMD3,0.113145762,0.124476125
IRF8,0.11314256,0.352203184
MIRLET7I,0.113142155,0.06043586
EPPK1,0.113062964,0.09777164
YTHDC2,0.113062393,0.287065947
TRDMT1,0.113061214,0.156192523
CYTH3,0.113028143,0.046881833
LCMT1,0.113001643,0.204801446
RPS6KA1,0.112987381,0.184534992
TRIM62,0.112970702,0.034886811
PSMC3,0.112964702,0.092555821
KXD1,0.112948226,0.008907058
RPS6KB1,0.112944798,0.042008307
ZNF324B,0.112933607,0.010920085
RIMBP3,0.112884905,0.140103947
COMMD3-BMI1,0.112865321,0.471115877
DBF4,0.112847381,0.259081544
KCTD21,0.112847024,0.176409709
CARD6,0.11280306,0.315344546
SH3TC1,0.112800595,0.025094055
PREX1,0.112785595,0.382984139
OGFOD2,0.112739655,0.00645379
CCNJ,0.112649798,0.144004341
BBX,0.112631917,0.142070482
PLA2G1B,0.112621214,0.034173753
LOC105375355,0.11257256,0.121773182
LAMP5,0.112568798,0.083824259
SPATA25,0.112564738,0.027410086
LOC100130691,0.112531167,0.266267458
RNASET2,0.112510583,0.301497452
NAA20,0.112501917,0.276768884
ST6GALNAC1,0.112470952,0.023720637
NCAPG2,0.112461107,0.120399067
CREBBP,0.112459524,0.275941851
C1orf74,0.112446119,0.058793153
MRPL10,0.112428155,0.070662263
RASSF2,0.112417976,0.130527612
ZNF665,0.112371631,0.094547472
CSTF3,0.112335155,0.408815567
DUSP19,0.112297786,0.150367274
SLC39A8,0.112289012,0.314445377
CAMK1D,0.112268583,0.339773868
POLR2A,0.112245095,0.344917091
ING3,0.112188167,0.101172484
IMPACT,0.11217731,0.240547239
KLF16,0.112130988,0.105607859
STK3,0.112120298,0.256458001
FAM231B,0.112103833,0.265466143
MANBA,0.11209481,0.225655439
TP73-AS1,0.112079429,0.14008639
LYSMD1,0.112071202,0.012668554
SH3YL1,0.112047298,0.270354602
ADIPOR2,0.112026369,0.011468826
SNORA14B,0.111972321,0.223791323
POLM,0.111885762,0.041344948
NELFA,0.111884726,0.026637404
NLRP2,0.111860655,0.206655273
EYA3,0.111859429,0.122086009
PRKAR2A,0.111855905,0.022238792
IL10RB,0.111852976,0.113044928
SMARCA4,0.111814357,0.101419504
EML3,0.111780679,0.088289701
NCBP2,0.111677143,0.310650955
SEL1L,0.111667845,0.151913493
PTPRM,0.111666036,0.424996716
NCOA2,0.11161481,0.167724091
TRIB1,0.111561655,0.368285165
SENP1,0.11155844,0.093741679
PRKG1,0.111507202,0.106218476
RLF,0.111487369,0.130875292
ARL6IP4,0.11144325,0.118855421
SH2D3A,0.111435929,0.034052776
NIFK,0.111404667,0.466465684
VILL,0.111352095,0.014471644
ZNF764,0.111304131,0.00198253
MARCHF2,0.111303131,0.468611827
MTA1,0.111296976,0.141981858
COPS8,0.111283369,0.269696394
RPL32,0.111262571,0.228937617
RNF24,0.111244762,0.25482732
ZNF707,0.111239095,0.014151179
KCTD20,0.11118056,0.110132085
HNRNPA1P6,0.111166738,0.399560225
ARL2BP,0.111148119,0.253429399
TMEM222,0.111063393,0.023064609
FCER2,0.111061643,0.555579754
ACO2,0.111041786,0.241238758
SNRNP27,0.111028381,0.251844354
OPHN1,0.111017536,0.102294261
PRKCD,0.110988571,0.168945968
HACD2,0.110915774,0.331003697
POLB,0.110891381,0.3963072
UTP18,0.110889667,0.287620871
QSER1,0.110864131,0.329846344
ELOVL5,0.110851548,0.063509648
PRPF38A,0.110845988,0.04759369
SCO1,0.110833917,0.286127977
PIN4,0.110827488,0.261790809
HEXA-AS1,0.110785381,0.059521861
OTUD5,0.110767417,0.068682404
FBH1,0.110725143,0.055994782
SNX33,0.110705524,0.065658773
BTBD8,0.11070144,0.309177844
MIRLET7E,0.110691119,0.270502946
ZNF436,0.110684226,0.021492756
SP110,0.110679286,0.293050475
RAB29,0.110531726,0.302427698
CYP4F2,0.110488512,0.293748622
NEURL4,0.110419631,0.056936498
GARIN1A,0.110386012,0.333789015
HIPK3,0.110365,0.23999382
TUBGCP2,0.110356845,0.090563168
EFHD2,0.110356667,0.051842922
NME1-NME2,0.110350119,0.216400535
NUDT13,0.11020694,0.116024135
C20orf96,0.110189202,0.034161653
INO80B-WBP1,0.110182857,0.008111962
ZZZ3,0.110134226,0.423811249
MIR30C1,0.110090536,0.128478027
KIFAP3,0.110070488,0.341869141
CFAP20,0.110034833,0.122965368
H2AC19,0.109991071,0.211781791
SDHAP3,0.10994819,0.210285676
EPHX1,0.109946488,0.100918172
SPPL2B,0.109940655,0.036993812
BDH2,0.109887774,0.330780249
ZNF256,0.109883762,0.223301114
ARNT,0.109865036,0.053156664
PPP2R1B,0.109823452,0.130565729
MIR28,0.10981281,0.104649065
RPL34-DT,0.109809821,0.389354849
ELMOD3,0.109793774,0.032857374
SNORA33,0.109761643,0.27656227
UBE2E2,0.109678738,0.389716008
PLXDC2,0.109669762,0.271884224
POLR2E,0.109658833,0.107195521
POLR2F,0.109648881,0.033248025
XRN2,0.109556762,0.223189086
DCLRE1B,0.109511417,0.174813587
CLEC4E,0.109489798,0.627128637
CNST,0.109450274,0.260566236
IDE,0.10941194,0.316861777
ZBTB4,0.109362869,0.227088749
NDUFA8,0.109296655,0.210862066
COQ5,0.109295952,0.244254209
NOP10,0.10924869,0.181705647
WDR4,0.109244333,0.044872062
EMP3,0.109231429,0.090301345
TMEM39B,0.109222762,0.034625788
LOC151760,0.109188167,0.159329186
ORAI3,0.109149179,0.084623398
ATP13A2,0.10914125,0.055778054
OR2L3,0.109137131,0.073395352
UBA5,0.109130702,0.402118541
MSH2,0.109122381,0.297104974
LOC284009,0.109106607,0.074182905
HSDL1,0.109092393,0.0593304
TCTA,0.109054774,0.050915131
LOC100134822,0.109054524,0.445825628
MRPL46,0.109026905,0.342107107
NDUFAF5,0.109014333,0.267341206
OR2T35,0.10892569,0.143433109
TMEM107,0.108923583,0.075618923
HACL1,0.108905143,0.313602759
CCDC86,0.108903631,0.022359176
SLC25A14,0.108881024,0.07953649
DDOST,0.108832583,0.200115358
ZNF577,0.108827786,0.18844145
SLC7A6OS,0.108818655,0.110927993
FAM136A,0.108816321,0.183262128
SLC49A3,0.108806929,0.043772105
SH3RF1,0.108787143,0.172731749
FBXO6,0.1087815,0.354916896
NDUFS4,0.108724726,0.119517262
CEP89,0.108692774,0.03372992
SNORD54,0.108661012,0.501954707
SYTL2,0.108603417,0.44088395
POP1,0.108595845,0.075201448
SKP2,0.108589714,0.19932943
INTS11,0.108588786,0.031362578
NEDD1,0.108559714,0.289388916
CMC4,0.10845,0.183403221
SLC38A6,0.108442345,0.329392418
SNORD57,0.108425357,0.207104216
FOXO3,0.108416821,0.283372472
PHYH,0.10831556,0.12618788
MBD6,0.108297167,0.313890741
NDUFA10,0.108289357,0.121509644
CPD,0.108277619,0.413277812
UCK2,0.108257869,0.066135385
NUP35,0.108196917,0.319823811
REPS2,0.108166929,0.541879394
PPP6C,0.108164643,0.020834854
RBBP4,0.108143714,0.287258102
TAOK2,0.108077381,0.030049712
KLC4,0.10802806,0.015441918
ICA1L,0.108012512,0.056680949
ORC3,0.107887512,0.340734736
CYRIA,0.107851548,0.208874337
RHOBTB3,0.107796321,0.419552513
NEK3,0.10778381,0.230877528
NPLOC4,0.107737179,0.093215378
DBT,0.107735286,0.354344606
SBF1,0.107712321,0.030007759
SAT2,0.107712119,0.245861171
ERVK3-1,0.107663,0.104866118
POTEF,0.10765881,0.008908503
FANCD2,0.107630452,0.206052959
SPAG8,0.107612429,0.036421853
BTNL8,0.107567095,0.448457565
ENPP5,0.107562429,0.543750676
CCDC17,0.107389274,0.152704416
MIRLET7D,0.107372417,0.109315452
PHF5A,0.107362786,0.132883416
ZNF706,0.107352536,0.249161325
CC2D1B,0.107344655,0.090321976
RIC1,0.107329774,0.142646055
QTRT2,0.107321179,0.118144759
ANKRD42,0.107318286,0.118396891
SYNRG,0.107306429,0.125653102
MT1F,0.107294048,0.479527608
ECH1,0.107281155,0.412664551
OLA1,0.107271024,0.265923587
VPS35,0.107139571,0.153116185
NAB1,0.10713606,0.213103042
TGFBR3,0.107112286,0.629005612
RSBN1,0.107101524,0.160626466
SYPL1,0.10707319,0.222278485
TNFRSF10D,0.106949571,0.044606346
PIH1D1,0.106925405,0.083031174
ZSCAN25,0.106886905,0.029156247
DPM1,0.106862679,0.443240199
CDK19,0.106832964,0.298387117
ERAP2,0.106788524,0.624590424
NUDT16L2P,0.106786226,0.511432349
PBX3,0.106708488,0.063945626
ZNF432,0.106661714,0.337333274
PCCB,0.106625083,0.131218794
PCNX4,0.106601357,0.253524618
MFSD2A,0.1065645,0.144501515
CIITA,0.106542619,0.222283087
MGRN1,0.106539726,0.316383993
ENOPH1,0.106515381,0.217050065
HRH2,0.106502119,0.487443585
TOMM20,0.106413083,0.349490165
FAM216A,0.106404321,0.358758587
AMOT,0.106227536,0.049820863
RNF40,0.106216429,0.150267441
LOC101929163,0.106193107,0.135274551
CNPY4,0.106184298,0.12123218
NUP107,0.106174738,0.364267149
FRRS1,0.106133155,0.497164571
DROSHA,0.10610844,0.323415981
CTSC,0.106078571,0.134188462
ACTR5,0.106052714,0.145576296
PDE4B,0.10603225,0.161990247
MKNK2,0.105990119,0.195959982
NT5C3B,0.105913619,0.106762114
AQP9,0.105909405,0.219753206
ZBTB8OS,0.105895333,0.492807676
TCF19,0.105880464,0.073691256
SP1,0.105865476,0.139753643
TRAPPC13,0.105856345,0.476953784
RNF4,0.105811107,0.046527139
ZNF397,0.105807869,0.13085298
MRPS33,0.10580094,0.266989998
CD59,0.105748798,0.364904256
SNX27,0.105721476,0.283054957
ZNF549,0.105685262,0.132482377
AMIGO2,0.10566719,0.159771587
PPP1R12C,0.105639036,0.014576589
DNM1P46,0.105609119,0.541539509
DOCK8-AS1,0.105604488,0.219112283
FNIP1,0.105541,0.332600171
DOK1,0.105538107,0.082442441
HLX,0.105506179,0.264004112
CCDC43,0.105497857,0.34457687
SMARCB1,0.105495845,0.143942144
LRTOMT,0.10542406,0.081192652
C2orf50,0.10542006,0.109262297
ZNF35,0.105381679,0.200031203
DOCK2,0.105352143,0.074504831
SMAGP,0.105349286,0.135120413
ATXN1,0.105338619,0.203578811
RBM14-RBM4,0.105309643,0.018937
RIPOR2,0.10526619,0.180088455
RBM12B,0.105255964,0.187124813
STARD9,0.105231131,0.125439663
ZNF211,0.105213095,0.134465179
NACC1,0.105211536,0.094391822
RRN3P1,0.105146298,0.513915051
KRTAP7-1,0.105142714,0.075377111
COIL,0.105115821,0.23627445
SEC13,0.10509519,0.054084052
ANP32A-IT1,0.105093929,0.317473248
SLC38A1,0.105071286,0.436925423
ZNF583,0.105050381,0.470434757
SPACA9,0.105043429,0.094903764
KIAA1191,0.105042821,0.43468467
CIC,0.105040595,0.164440017
MSRB1,0.105015952,0.308672153
ACOT9,0.104954893,0.370581414
MED13L,0.104924167,0.141137421
CROT,0.104820952,0.441588757
TAS2R19,0.104804964,0.489770064
ENSA,0.104799631,0.098930413
SIL1,0.10479069,0.018233842
UCKL1,0.10475969,0.089833746
TMEM198B,0.104750333,0.067749702
GPS1,0.104705452,0.132855786
SRGAP2D,0.10463419,0.352798036
PDCL3,0.10463231,0.37685898
ACSL5,0.104583012,0.403562368
EIF4A2,0.10457081,0.320856767
DHX33,0.104452762,0.091124709
LAPTM4A,0.104412976,0.084483208
EXOSC10,0.10440181,0.341081611
EPS8,0.104386214,0.492894192
PLIN4,0.104373536,0.290866594
ZNF174,0.104370595,0.059316282
NCF4,0.104369762,0.301962987
LEPROTL1,0.104290595,0.18298677
MRPS18C,0.104254512,0.52555828
CYB5R1,0.104233976,0.21295989
CGA,0.104215369,0.102580978
UNC5CL,0.104171048,0.028209654
COX20,0.104125952,0.233122052
H1-3,0.104097262,0.289824892
LPA,0.103957548,0.119235903
PDRG1,0.1039555,0.049636162
TAS2R46,0.103901583,0.611454915
TRAPPC10,0.103871714,0.046435596
PLD3,0.103871095,0.302027078
SLIRP,0.103845238,0.666490834
ELAC1,0.103819619,0.168958971
LOC100506472,0.10379306,0.036529736
TASL,0.103738702,0.453639978
DGKZ,0.10372975,0.071248622
MPND,0.103699321,0.027798796
KIAA0513,0.103698595,0.228485617
SLC44A2,0.103653214,0.177511106
PDXK,0.103635655,0.088584506
SLC9A7,0.103633952,0.341818848
GPBP1L1,0.103622143,0.047142497
TMEM177,0.103595131,0.034816453
DENND6A,0.103519083,0.067580693
BTF3L4,0.10348819,0.295682371
LYN,0.103407619,0.19894868
TYK2,0.103385595,0.166842867
LOC101060386,0.103335714,0.114921692
TMCC1,0.10333269,0.495783734
INPP5F,0.103312321,0.276686596
HMGN3,0.103243452,0.444896648
DDX20,0.103169917,0.192554881
